date,pop_nat,lf_nat,emp_nat,un_nat,pop_for,lf_for,emp_for,un_for,ppop_nat,pemp_nat,ppop_for,pemp_for,unrate_nat,unrate_for,epop_nat,epop_for,lfpr_nat,prime_epop_nat,prime_epop_for,foreign_share_lf,foreign_share_emp,unrate_nat_sa,unrate_for_sa,epop_nat_sa,prime_epop_nat_sa,prime_epop_for_sa,lfpr_nat_sa
2007-01-01,196299,128430,121919,6511,34350,23494,22356,1138,103000,82862,22386,17171,0.05069687767655532,0.04843789903805227,0.6210882378412523,0.6508296943231441,0.6542570262711476,0.8044854368932038,0.7670419011882427,0.1546431110291988,0.15495408074857045,0.0471305798425098,0.0418257445813755,0.628022613053658,0.80778284433479,0.777595388260322,0.6580923525104
2007-02-01,195967,128159,121900,6258,34868,23720,22579,1141,102735,82546,22721,17304,0.04882996902285442,0.04810286677908938,0.622043507325213,0.6475564987954572,0.653982558287875,0.8034846936292402,0.7615861977905902,0.1561769566562856,0.15627876715647257,0.0466274665051014,0.0414284194055808,0.62762969779953,0.806262209680358,0.773178243614208,0.656915417177883
2007-03-01,196113,128484,122538,5946,34921,23751,22785,966,102717,82856,22769,17443,0.046278135799009995,0.040671971706454466,0.6248336418289455,0.652472724148793,0.6551528965443393,0.8066434962080279,0.7660854670824366,0.15601537097250961,0.15678867075411326,0.0456772927598591,0.0396751179106061,0.627104555810344,0.807476722177692,0.772486297222939,0.656903859982578
2007-04-01,196211,128058,122504,5553,35042,23772,22793,979,102735,82907,22815,17570,0.043363163566508926,0.0411829042571092,0.6243482781291568,0.6504480337880258,0.6526545402653267,0.8069985886017423,0.7701073854920009,0.1565698478561549,0.15687178675402796,0.0459680348186454,0.0426762131058723,0.624633556901474,0.805465103676244,0.767454370930548,0.655113642777218
2007-05-01,196294,128400,122891,5509,35186,23949,22973,977,102771,83100,22809,17625,0.04290498442367601,0.0407950227566913,0.626055814237827,0.6529017222759051,0.654120859527036,0.80859386402779,0.7727212942259635,0.15719827501329184,0.15749602369330334,0.0444448352779891,0.043281025049915,0.625070021113691,0.806575303150296,0.768285423838693,0.654110177233486
2007-06-01,196759,130270,123906,6364,34953,23982,23051,931,103067,82820,22554,17459,0.04885238351116911,0.03882078225335668,0.6297348532976891,0.6594855949417789,0.6620789900334928,0.8035549690977714,0.7740977210250953,0.15547286258849155,0.15685540668358772,0.0467124922740841,0.0416718543211646,0.625974050726867,0.805262203555896,0.770337585214201,0.656174809054384
2007-07-01,196937,130568,124003,6565,35021,24303,23312,991,102970,82232,22745,17680,0.050280313706267996,0.040776858824013495,0.6296582155714772,0.6656577482082179,0.6629937492700712,0.7986015344275031,0.7773136953176523,0.1569241497762654,0.15824593558021927,0.0475176846049898,0.0419054017901756,0.625142642294978,0.802884845906296,0.773170597481996,0.655727613284292
2007-08-01,197379,129222,123098,6124,34832,24272,23308,964,103062,82533,22730,17786,0.04739131107706118,0.03971654581410679,0.6236631049909058,0.6691548001837391,0.6546897086316174,0.8008092216335798,0.7824901011878574,0.1581299594772434,0.15920112563692745,0.0466301837994825,0.0421397893923423,0.622975282053773,0.802928837091826,0.778092742728377,0.652896119309638
2007-09-01,197149,129099,123168,5930,35312,24301,23280,1022,102683,82867,23184,17946,0.04593374077258538,0.04205588247397227,0.6247457506758848,0.6592659719075669,0.6548295958894035,0.8070177147142176,0.7740683229813664,0.15841590612777054,0.15896427400852178,0.0474008962886825,0.0447562435087763,0.623751954182195,0.804282947457857,0.769517863643857,0.655508136430842
2007-10-01,197238,129251,123485,5766,35478,24265,23258,1007,102614,82919,23302,18037,0.0446108734168401,0.04150010302905419,0.6260710410772772,0.6555611928519082,0.6553047587178941,0.8080671253435204,0.7740537292936228,0.15806170040907788,0.15849478339682302,0.0469588887148465,0.0454342015968754,0.623402866637167,0.80406502977646,0.769021005844672,0.655180836912774
