state_name,arrests,population_2025,arrests_per_100k,total_nonfarm_job_growth,growth_Mining_and_Logging,growth_Construction,growth_Manufacturing,growth_Professional_and_Business_Services,growth_Leisure_and_Hospitality,growth_Government,wage_yoy_Construction,wage_yoy_Leisure_and_Hospitality,wage_yoy_Total_Private,d_unrate,labor_force_growth,hh_employment_growth,d_epop,d_lfpr,unrate_level_jan2025,d_nat_epop,d_nat_unrate,d_for_epop,d_for_unrate,d_log_for_pop,for_share_pre,construction_emp_share_pre
Texas,143233,31709821,451.69917546995936,0.01376574404407282,-0.00842302292934016,0.04315896508869055,-0.00658494580083068,0.03317737133134835,0.01798914110028127,0,0.04177040110650054,0.01446945337620575,0.026643297841155933,0.40000000000000036,0.0071056938823059745,0.0034816268003834416,-0.9000000000000057,-0.7000000000000028,4.1,-0.01223211248692979,0.00772836723143647,0.00190173868177401,-0.00502799509348667,-0.10569405427681744,0.2431846357170056,0.09185173116967035
Florida,60247,23462518,256.77977103736265,0.00339139047009262,NA,4.569687738003037e-4,0.00373482726423901,0.0046904894155404,0.00899820035992804,-0.01051442474800135,0.08470181503889362,0.0817155756207677,-0.015375512837986882,1.0999999999999996,-1.2084093421915743e-4,-0.011449710749054987,-1.2000000000000028,-0.7000000000000028,3.5,-0.00379457143957595,0.01385424256800788,0.02440641947856281,0.00392771133661529,-0.04121155683753486,0.26638603053094717,0.09103647814043164
California,50854,39355309,129.21763617711653,0.00626914029559277,-0.02150537634408611,-0.0171783220658318,-0.02385589094449858,-0.00605577111360911,0.01855066712960673,-0.02660624223375474,0.08220050977060334,0.02051835853131756,-0.00855585856039598,-0.3000000000000007,-0.010858107312922805,-0.008533425157285501,-0.5,-0.6999999999999957,5.4,0.00112878497120294,0.00271550283928865,0.01136121544139612,-0.00619239244493794,-0.1257128210902465,0.3324781683885235,0.07301583613974151
Georgia,22266,11302748,196.9963410667919,5.427135678390815e-4,-0.01041666666666663,0.00258843830888699,-0.00444028978733346,-0.01284452769601285,0,-0.01465866257154824,0.02549019607843128,0.05257784583971414,-0.03998376263222436,-0.10000000000000009,0.012432022048500802,0.013910891960096983,-0.10000000000000142,-0.20000000000000284,3.4,0.00534062560114589,-9.753226684591082e-5,0.01040099597094157,-0.00232807207176265,-0.20680177270122613,0.16078935618752366,0.073446643530732
Arizona,20410,7623818,267.71363114911713,0.00244230064720962,0.11111111111111116,0.00351957765068178,-0.01031459515214028,0.01778741865509769,-0.03065340145200312,-0.01977466084157264,0.05677898646855928,0.05221238938053085,0.004027745227926038,0.7000000000000002,-0.018862425655628123,-0.026358921493856213,-2.3999999999999986,-2,4.2,-0.03841078782198426,0.0148680328207776,-0.00880918905752792,0.02030963568488277,-0.12123747113421857,0.18608734145016315,0.07583617786831481
New York,19343,20002427,96.70326505878512,7.729526792348285e-4,0,-0.021806054386865,-0.030517578125,-0.00524116438841282,-0.02414636740772258,0.01699190229656189,0.01289213579716386,0.04018547140649153,-0.008955411034340166,0.3000000000000007,0.008194195134075377,0.004625442677497427,0.20000000000000284,0.3999999999999986,4.1,-0.00324097358268182,0.00606723140807881,0.00633961803899751,0.00424279902975971,-0.02922003323328326,0.27538250136848025,0.06540981323537552
New Jersey,17831,9548215,186.746946942439,-0.00292631627077577,-0.0625,-0.01885644768856442,-0.0189349112426036,-0.01332959169355974,-0.02446183953033265,-0.00303562869467965,0.03818664488462331,0.07505422993492417,-0.011453631174385581,-0.5,0.0028122022335064223,0.00840944466474558,0.20000000000000284,-0.20000000000000284,4.9,-0.01849824835787039,8.848068934385264e-4,0.01847983433168532,-0.00446391565573091,-0.05505366154541491,0.30813193717175724,0.06103367966496778
Virginia,15571,8880107,175.34698624689997,-0.00954274353876738,-0.08571428571428563,0.0071652485445588,-0.04317144043171439,-0.0363101079489696,0.01411483253588508,-0.00863535261023151,0.0479074889867841,0.03976435935198808,-0.027211616144956485,0.5,-0.016674819689935894,-0.02177522178803104,-2,-1.7999999999999972,3.2,-0.01163731562836123,0.00792264942963004,-0.03493613722097266,0.01104714677205458,-0.08409834708402997,0.16786682295411112,0.06332007116026919
Tennessee,14905,7315076,203.7572815374714,0.00326264274061993,-0.02272727272727281,0.00546448087431694,-0.01085141903171949,0.00805910006715926,0.01586867305061567,0.00771264874394006,NA,0.0424274973147154,0.0012680960737003755,-0.10000000000000009,-0.005226048869092281,-0.004391886795857003,-1.0999999999999943,-1.1000000000000014,3.5,-0.00812652213566944,0.00833131751711606,-0.01822494382111017,0.00741657085355179,0.00405924609420083,0.07945661026016211,0.08915015513304472
Pennsylvania,12843,13059432,98.34271505835784,0.0055948365334717,0.05797101449275366,0.00345356868764379,-0.004997322862752,-1.1984659635666528e-4,0.02135106755337768,-0.01031947978512859,0.08215438073963766,0.01873198847262247,0.016650980617678668,-0.19999999999999973,0.018787539271234444,0.020549062175711397,1,1,4.1,0.01199502837483001,-0.00123644258438119,-0.00744171573985141,0.00977325641734395,0.01264276404415909,0.10588822506134338,0.06581703439496207
