IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
12,15549192.559399959,736313.7529,14812878.806499971,358633.88,4722,193,0.047353825614235893,0.023064469658470782,TRUE
633,15372688.761300012,2231928.975800001,13140759.785500012,902292.3742000001,4184,536,0.14518793754666864,0.05869450609521717,TRUE
392,14758746.784800045,4423789.461200001,10334957.323600007,2716182.184400001,3734,1012,0.2997401829372151,0.18403880925698804,TRUE
192,14541294.63959999,1758980.4697,12782314.169899974,890632.7041,4316,460,0.12096450235660633,0.06124851508575855,TRUE
441,14513782.674500005,2361547.485199998,12152235.189299995,911354.8842999999,4125,540,0.16271068253964693,0.06279237499547276,TRUE
872,14489529.441000005,831514.7442,13658014.696800008,409941.8606,4617,227,0.05738728421691328,0.02829228252506367,TRUE
300,13176949.075900003,2236354.332500002,10940594.74340001,1351411.4629000004,3741,544,0.16971715680302543,0.10255875279746401,TRUE
242,13112601.697800014,2706079.6465999987,10406522.051200014,1629951.9704000005,4060,626,0.20637244301060523,0.12430423862210868,TRUE
921,12451003.23220001,1389361.6821000006,11061641.550099995,292822.21419999993,3966,360,0.11158632410494601,0.0235179614637575,TRUE
120,12021507.191300001,1442355.6539000005,10579151.537400017,910745.8446000003,3260,344,0.11998126615469959,0.07575970551006364,TRUE
530,11538148.131000001,820066.3155,10718081.815500008,324611.8668000001,3711,202,0.07107434452992463,0.028133792625512622,TRUE
282,11338779.262799975,1502374.3111999994,9836404.951600004,922315.5781000005,3258,363,0.13249877049189562,0.08134169973005065,TRUE
270,10952074.79619998,1179412.1534000002,9772662.642799983,523705.2403,3293,293,0.10768846774213217,0.04781790209118267,TRUE
582,10687093.771700008,805347.2058000007,9881746.5659,503386.5608000001,3886,202,0.07535698881323591,0.04710228725914191,TRUE
701,10000154.08019998,1023275.6861000002,8976878.394100003,356635.2689000001,3274,291,0.10232599196906945,0.035662977394131136,TRUE
510,9840824.112600027,1359955.9315,8480868.181100003,406562.4598000001,2856,339,0.1381953295719141,0.04131386306147311,TRUE
