NAICSP,total_workers,foreign_born,noncitizen,pct_foreign_born,pct_noncitizen
6211,1786883,250790,57101,14,3.2
32711,29890,4167,2743,13.9,9.2
3327,318391,44255,17547,13.9,5.5
311M1,153144,21026,11327,13.7,7.4
5321,190104,25973,11074,13.7,5.8
2122,52913,7214,2962,13.6,5.6
7115,382717,51758,23158,13.5,6.1
81393,84376,11404,3640,13.5,4.3
4411,1251590,167442,78206,13.4,6.2
6213ZM,525163,70179,20545,13.4,3.9
6214,2568927,344905,101311,13.4,3.9
711M,155799,20866,9727,13.4,6.2
3211,132678,17589,13189,13.3,9.9
3241M,31628,4191,1230,13.3,3.9
3321,38101,5080,3041,13.3,8
611M2,117175,15489,6192,13.2,5.3
4247,91888,12069,4930,13.1,5.4
713Z,2337907,303352,130331,13,5.6
813M,1115723,144626,49074,13,4.4
211,78624,10069,5516,12.8,7
325M,435334,55644,26735,12.8,6.1
92113,314132,40348,6430,12.8,2
9281P,918953,118012,42999,12.8,4.7
3315,70248,8954,6096,12.7,8.7
5241,1830117,231891,72575,12.7,4
4595,303906,38157,20144,12.6,6.6
32199M,28113,3506,2322,12.5,8.3
5418,657348,82385,35435,12.5,5.4
6242,200190,24816,8364,12.4,4.2
3314,56859,7020,2591,12.3,4.6
4235,52247,6440,3370,12.3,6.5
7112,158886,19507,9654,12.3,6.1
8131,1200448,147631,56509,12.3,4.7
6222,104019,12738,1582,12.2,1.5
4599,680690,82283,36716,12.1,5.4
92119,159402,19279,5395,12.1,3.4
33641M2,42605,5112,1207,12,2.8
3369,39031,4692,1701,12,4.4
4238,372682,44500,19679,11.9,5.3
92M2,599478,70021,11613,11.7,1.9
3131,7234,840,516,11.6,7.1
3366,204053,23721,11657,11.6,5.7
4237,190790,21903,6948,11.5,3.6
4413,500255,57687,28786,11.5,5.8
487,46833,5408,2462,11.5,5.3
5242,1208468,136586,44123,11.3,3.7
32712,28576,3212,1400,11.2,4.9
5121,492717,55083,24432,11.2,5
5131Z,164312,18399,5581,11.2,3.4
8139Z,177024,19866,7444,11.2,4.2
33311,133872,14869,8295,11.1,6.2
4248,111758,12356,6157,11.1,5.5
4245,52801,5802,2413,11,4.6
5411,1739494,188811,55870,10.9,3.2
33299M,39984,4305,1218,10.8,3
4441Z,1142820,122941,57010,10.8,5
45921,93747,10142,3606,10.8,3.8
6111,10186802,1090977,346694,10.7,3.4
331M,290843,30931,16695,10.6,5.7
9211MP,1445926,153347,37726,10.6,2.6
62132,167982,17632,5642,10.5,3.4
2211P,816452,84014,33250,10.3,4.1
3212,30588,3149,1554,10.3,5.1
3335,107545,11038,5830,10.3,5.4
5221M,394851,39993,13364,10.1,3.4
32621,80296,8043,4506,10,5.6
4582,151098,15116,7445,10,4.9
62131,152693,15266,4415,10,2.9
3221,187845,18651,8760,9.9,4.7
53M,121990,11965,3971,9.8,3.3
2123,98192,9553,6986,9.7,7.1
7224,206551,19961,12142,9.7,5.9
2213M,274421,25731,9708,9.4,3.5
45914,46062,4331,996,9.4,2.2
51311,95992,8982,4000,9.4,4.2
51921,265193,24666,8161,9.3,3.1
3253,40360,3674,1960,9.1,4.9
8122,142733,12920,5440,9.1,3.8
22S,27480,2463,895,9,3.3
486,51657,4650,2616,9,5.1
3122,14704,1275,726,8.7,4.9
6243,87416,7575,1711,8.7,2
712,494672,41764,17963,8.4,3.6
4572,85565,7118,1833,8.3,2.1
92M1,287842,23702,5888,8.2,2
2212P,134390,10744,4625,8,3.4
22132,127666,9906,3429,7.8,2.7
721M,116068,9026,4888,7.8,4.2
4591M,475474,36761,17125,7.7,3.6
92MP,2919935,220539,48999,7.6,1.7
482,239641,17998,7504,7.5,3.1
44414,233943,17377,5557,7.4,2.4
114,44467,3110,1491,7,3.4
4442,291364,18585,8645,6.4,3
113M,45981,2894,2251,6.3,4.9
54194,537704,33674,12379,6.3,2.3
4412,179883,10884,4844,6.1,2.7
1133,70607,3819,3499,5.4,5
71395,39050,898,749,2.3,1.9
2121,51020,120,43,0.2,0.1
