state_name,industry_name,emp_start,emp_end,growth
Kentucky,Mining and Logging,7.2,7,-0.02777777777777779
Kentucky,Construction,89.6,92.7,0.03459821428571441
Kentucky,Manufacturing,253.6,249.1,-0.01774447949526814
Kentucky,Professional and Business Services,222.9,223,4.4863167339603827e-4
Kentucky,Leisure and Hospitality,204.6,209.4,0.02346041055718473
Kentucky,Government,315.7,315.3,-0.0012670256572694383
Louisiana,Mining and Logging,28.6,27.5,-0.03846153846153855
Louisiana,Construction,141.9,151.7,0.06906272022551074
Louisiana,Manufacturing,139.7,143.6,0.027916964924838972
Louisiana,Professional and Business Services,223.7,227.2,0.015645954403218587
Louisiana,Leisure and Hospitality,225.3,225.2,-4.4385264092328125e-4
Louisiana,Government,324.7,326,0.0040036957191254
Maine,Mining and Logging,2,1.8,-0.09999999999999998
Maine,Construction,35.9,34.9,-0.027855153203342642
Maine,Manufacturing,51.5,51.1,-0.007766990291262155
Maine,Professional and Business Services,78.6,77.1,-0.01908396946564883
Maine,Leisure and Hospitality,70.6,71.2,0.008498583569405138
Maine,Government,103.5,102.5,-0.009661835748792313
Maryland,Mining and Logging,1.5,1.5,0
Maryland,Construction,162.5,165,0.01538461538461533
Maryland,Manufacturing,111.3,111.6,0.0026954177897573484
Maryland,Professional and Business Services,477.9,470.7,-0.015065913370998052
Maryland,Leisure and Hospitality,271.9,275.9,0.01471129091577783
Maryland,Government,545,527.2,-0.03266055045871552
Massachusetts,Mining and Logging,1,1.1,0.10000000000000009
Massachusetts,Construction,167.4,169.3,0.011350059737156526
Massachusetts,Manufacturing,228.7,228.3,-0.0017490161783995095
Massachusetts,Professional and Business Services,614.1,611.1,-0.00488519785051289
Massachusetts,Leisure and Hospitality,365.2,361.6,-0.009857612267250682
Massachusetts,Government,474.8,474.9,2.106149957876724e-4
Michigan,Mining and Logging,7.1,7.4,0.04225352112676073
Michigan,Construction,198.8,199.7,0.00452716297786715
Michigan,Manufacturing,578.7,585.3,0.011404872991187087
Michigan,Professional and Business Services,628.4,617.2,-0.017823042647994836
Michigan,Leisure and Hospitality,431.7,432.7,0.0023164234422052843
Michigan,Government,624.8,642.5,0.028329065300896294
Minnesota,Mining and Logging,6.5,6.5,0
Minnesota,Construction,139.4,148.5,0.06527977044476319
Minnesota,Manufacturing,316.3,322.5,0.019601644008852226
Minnesota,Professional and Business Services,371,375.4,0.011859838274932644
Minnesota,Leisure and Hospitality,272.9,276.4,0.012825210699890066
Minnesota,Government,434.8,437.6,0.0064397424103035394
Mississippi,Mining and Logging,5.7,5.8,0.01754385964912264
Mississippi,Construction,52.4,54.5,0.040076335877862634
Mississippi,Manufacturing,139.9,138.2,-0.012151536812008645
Mississippi,Professional and Business Services,117.1,119.6,0.021349274124679685
Mississippi,Leisure and Hospitality,135.3,137.3,0.014781966001478297
Mississippi,Government,239,236,-0.012552301255230103
Missouri,Mining and Logging,4.3,4.5,0.04651162790697683
Missouri,Construction,142.2,158.3,0.11322081575246146
Missouri,Manufacturing,277,279.9,0.01046931407942231
Missouri,Professional and Business Services,364.7,368.7,0.010967918837400559
Missouri,Leisure and Hospitality,307.5,318.3,0.035121951219512226
Missouri,Government,437.4,432.9,-0.010288065843621408
Montana,Mining and Logging,6,5.8,-0.033333333333333326
Montana,Construction,37.1,36.6,-0.013477088948787075
Montana,Manufacturing,21.5,20.6,-0.041860465116279055
Montana,Professional and Business Services,53.8,54,0.003717472118959231
Montana,Leisure and Hospitality,73.5,71.5,-0.027210884353741527
Montana,Government,92.8,91.3,-0.016163793103448287
Nebraska,Mining and Logging,1,1,0
Nebraska,Construction,63.2,68.1,0.07753164556962022
Nebraska,Manufacturing,103.8,97.5,-0.06069364161849711
Nebraska,Professional and Business Services,119.4,117.4,-0.01675041876046901
Nebraska,Leisure and Hospitality,100.5,103.7,0.03184079601990053
Nebraska,Government,179.9,177.8,-0.011673151750972721
Nevada,Mining and Logging,14.6,15,0.027397260273972712
Nevada,Construction,111.3,116.3,0.0449236298292901
Nevada,Manufacturing,67.3,68.3,0.014858841010401136
Nevada,Professional and Business Services,220.7,239.1,0.08337109198006343
Nevada,Leisure and Hospitality,360.4,357.8,-0.007214206437291759
Nevada,Government,183.1,184,0.004915346805024701
New Hampshire,Mining and Logging,0.9,0.9,0
New Hampshire,Construction,32.4,31.5,-0.02777777777777779
New Hampshire,Manufacturing,68.1,67.6,-0.007342143906020504
New Hampshire,Professional and Business Services,99.4,102,0.026156941649899235
New Hampshire,Leisure and Hospitality,77,78.9,0.02467532467532485
New Hampshire,Government,88.4,87.5,-0.010180995475113197
New Jersey,Mining and Logging,1.6,1.5,-0.0625
New Jersey,Construction,164.4,161.3,-0.018856447688564426
New Jersey,Manufacturing,253.5,248.7,-0.018934911242603603
New Jersey,Professional and Business Services,712.7,703.2,-0.01332959169355974
New Jersey,Leisure and Hospitality,408.8,398.8,-0.024461839530332652
New Jersey,Government,625.9,624,-0.0030356286946796596
New Mexico,Mining and Logging,24.4,26,0.06557377049180335
New Mexico,Construction,55.4,56.4,0.018050541516245522
New Mexico,Manufacturing,28.6,28,-0.020979020979021046
New Mexico,Professional and Business Services,120.9,118.5,-0.01985111662531025
New Mexico,Leisure and Hospitality,99.5,99.4,-0.0010050251256280562
