state_name,industry_name,wage_start,wage_end,wage_growth_yoy,window_start,window_end
Michigan,Leisure and Hospitality,21.18,22.56,0.06515580736543902,2025-08-01,2026-08-01
Minnesota,Total Private,39.53,39.67,0.0035416139640780386,2025-08-01,2026-08-01
Minnesota,Construction,44.35,45.78,0.03224351747463361,2025-08-01,2026-08-01
Minnesota,Leisure and Hospitality,22.99,23,4.349717268379294e-4,2025-08-01,2026-08-01
Mississippi,Total Private,28.08,29.52,0.05128205128205132,2025-08-01,2026-08-01
Mississippi,Construction,31.51,31.46,-0.0015867978419549233,2025-08-01,2026-08-01
Mississippi,Leisure and Hospitality,17.12,17.94,0.04789719626168232,2025-08-01,2026-08-01
Missouri,Total Private,32.41,34.43,0.06232644245603214,2025-08-01,2026-08-01
Missouri,Construction,38.3,41.85,0.09268929503916468,2025-08-01,2026-08-01
Missouri,Leisure and Hospitality,20.76,22.11,0.06502890173410392,2025-08-01,2026-08-01
Montana,Total Private,32.34,33.39,0.03246753246753231,2025-08-01,2026-08-01
Montana,Construction,39.18,39.62,0.011230219499744676,2025-08-01,2026-08-01
Montana,Leisure and Hospitality,23.07,24.58,0.06545296922410038,2025-08-01,2026-08-01
Nebraska,Total Private,32.68,32.79,0.0033659730722153114,2025-08-01,2026-08-01
Nebraska,Leisure and Hospitality,21.04,22.54,0.07129277566539916,2025-08-01,2026-08-01
Nevada,Total Private,32.6,33.83,0.037730061349693145,2025-08-01,2026-08-01
Nevada,Construction,42.2,43.97,0.041943127962085214,2025-08-01,2026-08-01
Nevada,Leisure and Hospitality,21.8,23.15,0.06192660550458706,2025-08-01,2026-08-01
New Hampshire,Total Private,35.48,36.22,0.020856820744081128,2025-08-01,2026-08-01
New Hampshire,Leisure and Hospitality,22.78,23.08,0.013169446883230851,2025-08-01,2026-08-01
New Jersey,Total Private,37.96,39.47,0.0397787144362487,2025-08-01,2026-08-01
New Jersey,Construction,48.97,50.84,0.03818664488462331,2025-08-01,2026-08-01
New Jersey,Leisure and Hospitality,23.05,24.78,0.07505422993492417,2025-08-01,2026-08-01
New Mexico,Total Private,29.05,31.32,0.0781411359724613,2025-08-01,2026-08-01
New Mexico,Construction,33.45,33.91,0.013751868460388561,2025-08-01,2026-08-01
New Mexico,Leisure and Hospitality,20.37,20.33,-0.0019636720667649543,2025-08-01,2026-08-01
New York,Total Private,39.06,40.13,0.027393753200204873,2025-08-01,2026-08-01
New York,Construction,46.54,47.14,0.012892135797163862,2025-08-01,2026-08-01
New York,Leisure and Hospitality,25.88,26.92,0.040185471406491535,2025-08-01,2026-08-01
North Carolina,Total Private,34.05,34.61,0.016446402349486133,2025-08-01,2026-08-01
North Carolina,Construction,35.83,38.69,0.0798213787329054,2025-08-01,2026-08-01
North Carolina,Leisure and Hospitality,20.47,20.55,0.0039081582804103565,2025-08-01,2026-08-01
North Dakota,Total Private,34.7,35.93,0.03544668587896238,2025-08-01,2026-08-01
North Dakota,Construction,39.04,40.12,0.027663934426229497,2025-08-01,2026-08-01
North Dakota,Leisure and Hospitality,21.59,20.85,-0.03427512737378413,2025-08-01,2026-08-01
Ohio,Total Private,33.01,34.44,0.043320205998182315,2025-08-01,2026-08-01
