yr,cpi_all,cpi_less_shelter,shelter,infl_cpi_all,infl_cpi_less_shelter,infl_shelter
2019,254.717125,233.521125,316.427375,NA,NA,NA
2020,257.874625,234.701375,325.04125,0.012396104109607675,0.005054146600227183,0.027222281258061143
2021,267.682125,245.572,332.0285,0.03803204755023892,0.04631683559587141,0.021496502367007286
2022,289.942875,269.67625,349.592125,0.0831611374872343,0.09815553076083594,0.05289794400179493
2023,303.071875,277.50462500000003,377.11625,0.04528133343507745,0.029028789149953216,0.07873210816748233
2024,312.485375,282.63775,397.73062500000003,0.031060288916614276,0.018497439457090037,0.054663184097741846
2025,320.78025,288.039875,413.453375,0.026544842298619642,0.019113246549691265,0.03953115252314299
2026,331.279875,297.679125,426.429875,0.03273151947478059,0.03346498466575154,0.031385642939787406
