date,med_all,n_all,med_q1,n_q1,ma6_all,ma6_q1
2022-01-01,0.05315367974701187,1430,0.14090545307723773,357,0.05315367974701187,0.14090545307723773
2022-02-01,0.049291291716877524,1599,0.125163142954006,399,0.0512224857319447,0.13303429801562186
2022-03-01,0.054144387718457324,1588,0.127833371509885,397,0.05219645306078224,0.1313006558470429
2022-04-01,0.055569851154810786,1469,0.13005312824819776,367,0.05303980258428938,0.1309887739473316
2022-05-01,0.06008300775372577,1470,0.13353139262452257,367,0.054448443618176655,0.1314972976827698
2022-06-01,0.06899287148695142,1477,0.1823215567939546,369,0.056872514929639115,0.13996800753463395
2022-07-01,0.06291382541056918,1397,0.15219181534192533,349,0.05849920587356534,0.14184906791208188
2022-08-01,0.058444759024107465,1402,0.11256233955963191,350,0.06002478375810366,0.13974893401301952
2022-09-01,0.059423420470800806,1349,0.11332868530700327,337,0.06090462255016091,0.13733148631253925
2022-10-01,0.058840500022933395,1458,0.1038196823891223,364,0.06144973069484801,0.13295924533602665
2022-11-01,0.05582965890292718,1396,0.09531017980432493,349,0.06074083921971491,0.12658904319932707
2022-12-01,0.05077232537342314,1389,0.10037918530762203,347,0.05770408153412686,0.1129319812849383
2023-01-01,0.05715841383994862,1447,0.10616019582839072,361,0.05674484627235677,0.10526004469934919
2023-02-01,0.06062462181643484,1583,0.11778303565638346,395,0.057108156737744664,0.10613016071547446
2023-03-01,0.05715841383994862,1593,0.1112256351102244,398,0.056730655632602635,0.10577965234934464
2023-04-01,0.04106148679777392,1485,0.08398565607309283,371,0.05376748676174272,0.10247398129667307
2023-05-01,0.05520493613309614,1478,0.125163142954006,369,0.053663366300104216,0.10744947515495323
2023-06-01,0.04821914232160016,1422,0.11449896045519357,355,0.05323783579146705,0.10980277101288183
2023-07-01,0.04994112530741718,1528,0.10064872912648017,382,0.05203495436937848,0.10888419322923007
2023-08-01,0.051695956281490825,1544,0.08578438250884633,386,0.050546843446887806,0.10355108437130722
2023-09-01,0.04879016416943205,1495,0.09531017980432493,373,0.04915213516846838,0.10089850848699064
2023-10-01,0.044165123715249145,1480,0.10146180361187926,370,0.04966940798804759,0.10381119974345504
2023-11-01,0.049100337869189194,1498,0.08578438250884633,374,0.04865197494406309,0.0972480730025951
2023-12-01,0.04208190241685468,1420,0.083381608939051,355,0.04762910162660551,0.09206184774990467
2024-01-01,0.044458554964711225,1592,0.08455738802806297,398,0.04671533990282119,0.08937995756683514
2024-02-01,0.04652001563489291,1563,0.06899287148695142,390,0.0458526831283882,0.08658137239651932
2024-03-01,0.0408219945202552,1634,0.0863890993735274,408,0.04452465485352539,0.08509452565805306
2024-04-01,0.06108769197983828,1585,0.11431976590899884,396,0.04734508289762358,0.08723751937423965
2024-05-01,0.04879016416943205,1563,0.07856330781388687,390,0.04729338728099739,0.08603400692507975
2024-06-01,0.0529948570953573,1444,0.0870113769896297,361,0.049112213060747825,0.08663896826684286
2024-07-01,0.0425596144187959,1495,0.06713930283762852,373,0.04879572296976194,0.08373595406843712
2024-08-01,0.04800921918636056,1512,0.07429841207223051,378,0.04904392356167321,0.08462021083265031
2024-09-01,0.04879016416943205,1549,0.07257069283483537,387,0.05037195183653602,0.08231714307620164
2024-10-01,0.048240989324715336,1564,0.05715841383994862,391,0.04823083472734886,0.07279025106469326
2024-11-01,0.03974032864951412,1531,0.06078531601675742,382,0.046722528807362544,0.06982725243183836
2024-12-01,0.044451762570833796,1617,0.060278481269554346,404,0.04529867971994196,0.0653717698118258
2025-01-01,0.03922071315328133,1581,0.06453852113757116,395,0.04474219617568953,0.06493830619514958
2025-02-01,0.04028813908098111,1634,0.07813707245273285,408,0.04345534949145963,0.0655780829252333
2025-03-01,0.04706751085798573,1701,0.06453852113757116,425,0.04316824060621857,0.06423938764235593
2025-04-01,0.04203554104108082,1550,0.07696104113612819,387,0.04213399922561282,0.06753982552505253
2025-05-01,0.044948686105370714,1510,0.06260547423039578,377,0.043002058801588916,0.06784318522732558
2025-06-01,0.03898077073485597,1570,0.06109125740793421,392,0.04209022682892595,0.06797864791705556
2025-07-01,0.03922071315328133,1436,0.05715841383994862,359,0.04209022682892595,0.06674863003411848
2025-08-01,0.03944298477285634,1478,0.0588405000229336,369,0.04194936777757182,0.06353253462915193
2025-09-01,0.03922071315328133,1523,0.09395144760175224,380,0.040641568160121086,0.06843468903984877
2025-11-01,0.0408219945202552,1352,0.06275765881814327,338,0.039537435266906035,0.06675985553814238
2025-12-01,0.027398974188114347,1362,0.05196851393648618,340,0.037221075957557706,0.06493530684385278
2026-01-01,0.04317217186520878,1363,0.074107972153721835,340,0.0380113676999432,0.06832521850660743
2026-02-01,0.042048236243499404,1439,0.06062462181643484,359,0.03853241799407181,0.06868204286530767
2026-03-01,0.03509131981127019,1521,0.08070182906613686,380,0.037706539325669586,0.0660321191581846
2026-04-01,0.03846628082779614,1319,0.06713930283762852,329,0.03783316290935734,0.06621664977142525
2026-05-01,0.03152625364677395,1367,0.05406722127027579,341,0.036283872763777134,0.06476824351344734
2026-06-01,0.03743993746615195,1282,0.06920116142955951,320,0.03795736664345007,0.06764035142895956
2026-07-01,0.040642429066718035,1290,0.06062462181643484,322,0.03753574284370161,0.06539312637274507
2026-08-01,0.0408219945202552,1345,0.05301348010049338,336,0.03733136922316091,0.06412460275342148
