outcome,q,b,se
nat_epop,2022Q1,0.7714201099701637,0.7503698681389277
nat_epop,2022Q2,1.053134310708962,0.6538512455921608
nat_epop,2022Q3,0.9679137227527189,0.7880799758753464
nat_epop,2022Q4,0.5142278907380263,0.5917364212464387
nat_epop,2023Q1,0.675694507990017,0.6432011904684376
nat_epop,2023Q2,-0.4114114306231426,0.8009212116437361
nat_epop,2023Q3,0.37690071173228246,0.6863128646618017
nat_epop,2023Q4,-0.6673881828327531,0.527750615141542
nat_epop,2024Q1,-0.32468201234713806,0.6079443200052612
nat_epop,2024Q2,0.11493348898116494,0.6965013652492271
nat_epop,2024Q3,0.27117141615841667,0.8020873032760064
nat_epop,2025Q1,0.2884125963215664,0.9626073435932355
nat_epop,2025Q2,0.15428823193987448,0.6478153743447728
nat_epop,2025Q3,-0.49724591268559903,0.6246539441252025
nat_epop,2025Q4,0.2271077604879778,0.9855696426621648
nat_epop,2026Q1,-0.1665551051340509,1.0694458506614175
nat_epop,2026Q2,-0.9794508190451118,0.9899197053498044
nat_epop,2026Q3,0.19615571826223832,0.6821966066416245
nc_emp_pp,2022Q1,1.0804338477278308,0.5222207107743607
nc_emp_pp,2022Q2,0.7686178207047953,0.8791432036789225
nc_emp_pp,2022Q3,0.35644514501990787,0.5905921089628902
nc_emp_pp,2022Q4,0.6727804785218994,0.4326515314854445
nc_emp_pp,2023Q1,1.4304791285973575,0.660405946301629
nc_emp_pp,2023Q2,0.8055944939890993,0.6026333509531828
nc_emp_pp,2023Q3,0.15152637353741275,0.5580784942578176
nc_emp_pp,2023Q4,0.5572654338343216,0.3293682922486712
nc_emp_pp,2024Q1,1.0286727894619392,0.4175727825279725
nc_emp_pp,2024Q2,0.1943602345725973,0.30376788464090604
nc_emp_pp,2024Q3,0.3162482991043884,0.28558914251811846
nc_emp_pp,2025Q1,0.5808866063990623,0.2904208437740143
nc_emp_pp,2025Q2,-0.28521453696007676,0.6149852938122441
nc_emp_pp,2025Q3,-0.5283114691550513,0.6969176249633801
nc_emp_pp,2025Q4,-0.7726280122899029,0.443313346061107
nc_emp_pp,2026Q1,-0.34961921863930784,0.499427690619806
nc_emp_pp,2026Q2,-0.32756361546967916,0.7249988998833367
nc_emp_pp,2026Q3,-0.994509784260891,0.7204088120195671
