state_name,nc_emp_pop_pre,fb_emp_pop_pre,n_noncit_pre,nat_epop_pre,nat_noba_men_epop_pre,nc_emp_pop_post,fb_emp_pop_post,n_noncit_post,nat_epop_post,nat_noba_men_epop_post,F1_d_noncit_emp_pop,F2_d_fb_emp_pop,F3_dlog_noncit_resp,N1_d_nat_epop,N2_d_nat_noba_men,E1_noncit_share_emp,E2_recent_share_emp,noncit_pop_2024,arrests,E3_arrests_per_100k,E4_arrests_per_1k_noncit
Alabama,2.1237000725940014,3.1496461530743445,603,76.46370099744934,79.5209719379161,2.4740765550214334,3.7347260447266297,472,77.44955233469254,78.94473138598204,0.350376482427432,0.5850798916522852,-0.24493821114163072,0.9858513372432043,-0.5762405519340632,0.03560386731493228,0.012666864231369614,133717.38322500009,10863,209.18189716792784,81.23850271375211
Alaska,2.174718792531486,5.047032365583201,329,77.27905095700214,74.45290395623417,2.1855481614497907,5.3746816244559845,296,79.53250711765263,77.72698655753724,0.01082936891830455,0.32764925887278373,-0.10569829644131179,2.2534561606504866,3.2740826013030784,0.035839311925187606,0.010331243971505236,17258.928608333335,186,25.228206762787035,10.777030499459357
Arizona,6.341644152351044,11.739868952588523,1480,83.67881662569194,82.70604687119501,5.683100489799635,10.868256588245846,1149,79.83773784349351,80.51472333311075,-0.6585436625514092,-0.8716123643426776,-0.25315008890940494,-3.841078782198423,-2.191323538084262,0.10520259749265251,0.028449899455059654,586763.317341668,20410,267.71363114911713,34.7840422139331
Arkansas,2.7388728471747927,4.108644838043031,710,78.4182829220669,78.82492327439002,2.9488168594697295,4.694093760535264,505,80.44222880710214,83.33071756655487,0.20994401229493675,0.5854489224922323,-0.3407065407600012,2.0239458850352463,4.50579429216485,0.05272069253412757,0.01157142723537852,99184.00691666674,6037,193.8171774607028,60.8666677992977
California,9.500848275344678,19.784884406994294,12822,79.52031329952533,77.60330522296192,8.335881429953758,18.77815301935693,9107,79.63319179664562,79.07929936153447,-1.1649668453909197,-1.0067313876373625,-0.34211909697938303,0.11287849712029185,1.4759941385725455,0.16224175728868073,0.029930631878972977,4755787.1113166725,50854,129.21763617711653,10.693077467448015
Colorado,4.8161831857961745,8.055494309989216,840,84.45260217503835,82.44634202202863,4.604505209646002,7.609196919628879,592,82.94888841294708,83.0728691020831,-0.21167797615017214,-0.44629739036033733,-0.3498952569533538,-1.503713762091266,0.6265270800544727,0.06614890795842052,0.025262033081033534,341812.87029166677,6766,112.53108284473124,19.794456523028565
Connecticut,6.019537590131233,13.486482758779907,870,84.66493158548268,82.04453611258451,5.012051559832026,11.55760925050075,644,82.59255405074605,77.86131722714796,-1.0074860302992077,-1.9288735082791568,-0.3007944855442757,-2.0723775347366313,-4.1832188854365455,0.0980406528305285,0.026540222152923253,255975.01629166654,1456,39.4740837457869,5.6880551121480725
Delaware,5.5429152259445065,10.767200527402544,798,83.70374681209248,82.4086100766624,4.933895832758064,9.930881904842703,551,82.56891363292422,80.23377263027572,-0.6090193931864425,-0.8363186225598405,-0.37037378829689427,-1.134833179168254,-2.1748374463866753,0.08171498036399351,0.022666523123309763,65866.76838333339,1153,108.77851072501396,17.50503369604739
Florida,7.518347219714527,16.49090114455715,5055,78.99518377940787,81.2091168235827,8.297996207132693,17.367047368158936,4182,78.61572663545029,80.11772849414987,0.7796489874181658,0.8761462236017863,-0.18958825146599345,-0.37945714395758046,-1.0913883294328315,0.1318828492591106,0.04549418853895366,2175691.3772166725,60247,256.77977103736265,27.690967860098354
Georgia,5.736478851480023,10.744820091163465,1724,80.05603494834426,79.30136306067878,4.791556165690911,9.138441842215302,1165,80.59009750845885,81.29587182370351,-0.9449226857891126,-1.6063782489481628,-0.39192608522383754,0.5340625601145916,1.9945087630247258,0.09200356229486653,0.027104738025468453,759586.2331500007,22266,196.9963410667919,29.313327477859886
