exp_q,male_share_all,male_share_noncit,male_share_native,foreign_share
Q1 lowest,0.41477898394965496,0.43551013369078956,0.41564804605562405,0.07757142993535168
Q2,0.42317886326930854,0.475424540486335,0.419654246528241,0.12079842232792734
Q3,0.5386892955014467,0.5874142387400545,0.5363606950613251,0.1659726248891437
Q4 highest,0.6545716936502237,0.6649444285944847,0.6615002505629091,0.31696651686400773
