OCC2010,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
160,3937063.8888999964,3999961.9089999963,62898.020099999994,2839420.999299998,2882201.8904999983,42780.8912,697460.5994999997,43.07257403903732,1113,4161421.114399996,4183324.340299995,21903.2259,2707646.8182999995,2721829.6217999994,14182.803499999998,636677.7668,42.47778739340137,1079,0.12463939404250832,13382675.846700003,0.05542139033185656,-0.04752023296044072,-0.09118235694297994,-0.010488812618883766,-0.00963236691941882,-0.5947866456359492
205,9715275.447399987,9769577.862299988,54302.4149,6836254.756200008,6889602.506400007,53347.750199999995,591635.8209999998,44.16133664857507,4490,8858629.351400007,8909022.350100007,50392.998700000004,6013685.239900009,6048163.03600001,34477.7961,523965.29299999983,42.19709147664526,3711,0.06029110582467167,32364965.595,-0.0923073833174417,-0.12820228610916296,-0.12146583096667918,9.808309679965477e-5,-0.0020426860067581836,-1.9642451719298109
220,12042139.125499997,12235714.211499996,193575.08600000007,7974783.127200028,8119704.536900028,144921.40970000002,2226799.432500001,43.640307166227274,3864,11285423.755100003,11554629.285600003,269205.53050000005,7280047.9327,7449122.2878,169074.35510000002,2569044.3594999993,43.883404535939846,3532,0.15777551682511937,41378445.839200154,-0.06490013246908433,-0.09114700787063512,0.14296866272609599,0.007478002515403349,0.0048491046628779885,0.24309736971257223
230,11442805.584699994,11579549.098099992,136743.51340000003,1853697.6385,1884403.0274000003,30705.388899999998,1102603.1143999991,42.34055867874698,3554,10001817.902199978,10132122.74469998,130304.84250000004,1628328.1202000012,1632527.0409000013,4198.9207,1030560.9878000002,42.69216392255097,2984,0.08149456348861324,37348764.907800026,-0.13459433261003184,-0.1296285725068138,-0.0675705494418839,0.0010515135315073403,-0.013722453929449617,0.35160524380398783
300,2003394.1039999987,2021925.633699999,18531.5297,327852.1273000001,327852.1273000001,0,585045.0012,44.99433266581069,591,1675211.7792,1699033.3793,23821.6001,269173.7055999999,289697.56469999993,20523.8591,600607.6046,44.292525014187014,453,0.2272419648120051,7321877.473099992,-0.17890320156625172,-0.19720575840398702,0.02625304773925663,0.004855390622562218,0.07084581163550253,-0.7018076516236746
310,11139613.392200002,11484645.407499995,345032.01529999997,8608274.905500008,8931713.174500002,323438.26900000003,3471266.9799000015,42.80693495776001,3467,9770400.214399999,10080490.064899992,310089.8504999999,7448627.2563000135,7684035.176300014,235407.91999999993,3103408.8197000045,42.42240147705759,2694,0.2370612409982423,42654950.26610013,-0.13115010060797516,-0.14469418444333115,-0.11201852459699957,7.184897781265312e-4,-0.005576367531165381,-0.3845334807024159
340,1316108.469699999,1327451.4505999992,11342.9809,748933.7641999999,756440.7620999999,7506.997900000001,347258.9424999999,43.40447399857064,455,1001852.2192999999,1038912.083,37059.8637,581111.5236000003,612525.8456000001,31414.322,307028.7458999999,41.686218886302576,343,0.19607595056534732,4603885.756499999,-0.2728287472336248,-0.2537078577466918,-0.12312935558553129,0.027126868784386284,0.04136241938379744,-1.7182551122680607
350,8712358.76640001,8831214.188500011,118855.42209999997,2846810.7738000033,2900461.163300004,53650.389500000005,1025055.2594,42.20281378231892,2764,8544653.991599992,8819318.8195,274664.8279000001,2628144.0652999985,2686676.401399999,58532.336100000015,1397351.7458999997,42.594080023751715,2641,0.11386756195843284,29619663.51339997,-0.019436742249839156,-0.079921422477641,0.30983231244911913,0.017684982652771304,0.0032889575258404913,0.3912662414327954
360,515991.71400000027,540297.4505000003,24305.7365,78192.9992,78192.9992,0,110059.84030000003,40.71285655825934,147,337383.3377,346752.08629999997,9368.748599999999,66125.38849999999,66125.38849999999,0,120358.81480000001,39.98154866677009,95,0.18082437733388135,1450261.1521000003,-0.42487092273087335,-0.16762735384955185,0.0894531839842223,-0.017967264511444953,0,-0.7313078914892515
410,8460193.356500002,8579580.1238,119386.76729999998,4320744.042400002,4406048.821699998,85304.77929999997,1251139.3237999992,38.19483460419214,2709,8233168.229399999,8360500.803899995,127332.57450000002,4326345.851499996,4390106.025099997,63760.1736,1079064.412,38.27965551635839,2407,0.13609453325697496,30138497.607800037,-0.02720112707975808,0.0012956520522831028,-0.14796021471855703,0.0013150342261721779,-0.004837227106143947,0.08482091216625065
420,5348316.921399994,5459115.666499992,110798.74509999999,1434551.569099999,1480326.7518999996,45775.1828,505800.99880000006,40.523328205870975,1863,4611547.697900002,4752995.162300001,141447.4644,1104098.5542,1139493.4064000002,35394.8522,638078.4360999999,40.17563303998985,1436,0.08400385431396473,17032113.990299977,-0.14821839039124285,-0.2618230909947652,0.2323179074563555,0.009463550567208968,1.3956868825755128e-4,-0.34769516588112737
430,68121386.44230035,69479384.0627004,1357997.6203999992,27910866.772400003,28439911.48299999,529044.7105999999,12269662.59019999,42.4635976789021,21871,63281473.91029998,64699695.286000036,1418221.3757,25853277.883400016,26359642.270600036,506364.3872000003,12021894.791700007,42.13525475667675,18802,0.15398416134392967,240002791.5076017,-0.0736985934575145,-0.07657870613044793,-0.02040020631909556,0.0023747307935503073,6.07642735059772e-4,-0.328342922225346
500,496113.4543999999,509603.5946999998,13490.1403,153690.84619999997,163361.63979999998,9670.7936,53086.0745,40.73216370869068,155,688608.9287999999,719876.5170999999,31267.5883,230564.3918,250005.7573,19441.3655,82569.2304,41.42063155498278,162,0.05773499226787292,1566035.4309999996,0.32786887814135923,0.4055870879811394,0.4417224544260048,0.016962824064730625,0.01856499017806846,0.6884678462921059
