spec,replacement,ci_lo,ci_hi,first_stage_F
unweighted,-0.12763549969530605,-1.254063159360948,0.9987921599703359,3.8084265496446252
weighted by prime-age pop,-0.20502395433280904,-0.9263457184228991,0.516297809757281,5.694671607664669
"unweighted, excl. CA/TX/FL/NY",-0.09485959672671516,-1.24659164383292,1.0568724503794897,5.853509222645223
