yr,exp_q,unrate,hrs,ptecon,n
2015,Q1 lowest,0.02703665280120306,43.50508814344078,0.020150359535496095,49632
2016,Q1 lowest,0.028493188822562326,43.53394379062007,0.017191016985851914,48867
2017,Q1 lowest,0.02173188732607236,43.30530511201615,0.015815535804630455,48303
2018,Q1 lowest,0.021276995275089347,43.20515440510335,0.013462865603159194,46607
2019,Q1 lowest,0.022713909000167936,43.31202291527929,0.0126021108447912,44714
2020,Q1 lowest,0.04291311642801277,43.09094553880866,0.027120174772833818,39593
2021,Q1 lowest,0.03526142500717071,43.04028054140733,0.015635804158739493,38766
2022,Q1 lowest,0.021464245942018706,42.860579612387916,0.012406271853312856,37169
2023,Q1 lowest,0.021673191137238684,42.508651706632484,0.013187273909827163,36235
2024,Q1 lowest,0.02449681794595096,42.549883729938195,0.013737585786945042,35235
2025,Q1 lowest,0.02522569682595275,42.326210855251915,0.014327531894972727,31077
2026,Q1 lowest,0.02853164870781875,42.36652334101916,0.013083897616915184,21755
2015,Q2,0.037624167053859466,42.20811104717466,0.0251922899767049,58682
2016,Q2,0.03588912593324814,41.903731922529374,0.02338939933241584,58590
2017,Q2,0.031736877344666424,42.08594366053122,0.020497410488556553,57441
2018,Q2,0.03011409477823984,41.8613436335208,0.01950337198394979,55629
2019,Q2,0.02655810027458264,41.78381117600061,0.01793183445900006,54356
2020,Q2,0.0664138699922384,41.38672932587975,0.036564227985799544,49105
2021,Q2,0.0392613627911292,41.28996751596653,0.022829122821090245,48317
2022,Q2,0.0264950160971473,41.37956811096571,0.01650178959071616,47088
2023,Q2,0.02804450869108291,40.992821894037135,0.01598245412866195,46580
2024,Q2,0.02934267392602523,40.68802934232873,0.01838291385835878,46185
2025,Q2,0.0307398733107533,40.64895246902399,0.019184056699816876,41271
2026,Q2,0.03424177172161349,40.65953459765179,0.021428875793632264,29342
2015,Q3,0.045337393458409585,41.4693254007487,0.0379994541603025,116482
2016,Q3,0.04246388185834857,41.26128613778374,0.034318610486642344,114851
2017,Q3,0.036234755758373115,41.27279424438503,0.02975446418889062,113081
2018,Q3,0.03276680314351749,41.45214131808694,0.026003889377595693,111071
2019,Q3,0.031372420514395184,41.360079274216865,0.024380656131022856,107813
2020,Q3,0.06918846115916934,41.09509986074341,0.04504301775389747,97496
2021,Q3,0.04916026430105556,41.02075007931718,0.028695810979124017,97057
2022,Q3,0.033814036636474164,40.882227462075676,0.020831426527722744,92551
2023,Q3,0.034302592289454446,40.728933591278036,0.020289251226806596,90279
2024,Q3,0.03767213008268905,40.55712757432003,0.02318387795184051,89583
2025,Q3,0.03970786513871643,40.5286650965781,0.025339594187342194,78981
2026,Q3,0.038792848824792454,40.42461808462115,0.026216408341691783,55243
2015,Q4 highest,0.07180422997497106,40.83904260522433,0.0478614091113956,107682
2016,Q4 highest,0.06415609385661972,40.73154120319715,0.04524654526046571,109550
2017,Q4 highest,0.06044460346008466,40.74714974131171,0.039274611595822934,106989
2018,Q4 highest,0.05451459518754819,40.68674096297301,0.034531715259546084,102346
2019,Q4 highest,0.05080749179709049,40.74860432400387,0.032752508704452385,98793
2020,Q4 highest,0.09746787824277969,40.733348299598504,0.051228001994547835,85056
2021,Q4 highest,0.07002395969948164,40.54719759708489,0.033129766160196035,86731
2022,Q4 highest,0.04685062609755223,40.49869032371065,0.02849139390401401,81352
2023,Q4 highest,0.04765323157697011,40.4395154710757,0.027655849530095217,78245
2024,Q4 highest,0.0510500793209458,40.348381965474424,0.029480612967269643,77308
2025,Q4 highest,0.05372053818942444,40.147220420865885,0.0326015747233712,67695
2026,Q4 highest,0.0552620315571123,40.01236511932019,0.03149632780141661,47229
