nc_quintile,yr,yoy
Q1 (lowest),2015,0.024770898543612585
Q1 (lowest),2016,0.009664707662731503
Q1 (lowest),2017,0.0030966757525434374
Q1 (lowest),2018,0.002085910468708138
Q1 (lowest),2019,0.01031806516493236
Q1 (lowest),2020,0.02967346308452115
Q1 (lowest),2021,0.010014168869505152
Q1 (lowest),2022,-0.017255298795626386
Q1 (lowest),2023,0.0034712232577183977
Q1 (lowest),2024,0.00994303457848325
Q1 (lowest),2025,0.023976228468045757
Q1 (lowest),2026,-9.212766003474968e-4
Q2,2015,0.01982287026918539
Q2,2016,0.017413414644685876
Q2,2017,-0.00437463784116468
Q2,2018,0.0029377984277299124
Q2,2019,0.013592834694109796
Q2,2020,0.037148408499922986
Q2,2021,0.013019296967648572
Q2,2022,-0.018511200790802623
Q2,2023,-0.0032353894950223755
Q2,2024,0.004812709047152253
Q2,2025,0.012873970699521398
Q2,2026,0.004798844635798415
Q3,2015,0.013383784625919631
Q3,2016,0.010047721881918686
Q3,2017,-1.928169126392265e-4
Q3,2018,-0.0036490640982208555
Q3,2019,0.012227159355212791
Q3,2020,0.032898049937199136
Q3,2021,-0.0035061534237980363
Q3,2022,-0.02915502769822291
Q3,2023,0.0057013697687242765
Q3,2024,0.005262241770792014
Q3,2025,0.00858775960022852
Q3,2026,0.010633859023921412
Q4,2015,0.011147359381069394
Q4,2016,0.01503723639575269
Q4,2017,0.0014196233422883592
Q4,2018,-0.0018430297820463265
Q4,2019,0.03198870749466021
Q4,2020,0.06460641851277976
Q4,2021,0.003042766499911795
Q4,2022,-3.727455498153398e-4
Q4,2023,0.011698440941427635
Q4,2024,0.016966958964068718
Q4,2025,0.007543052456118138
Q4,2026,8.368242705723643e-5
Q5 (highest),2015,0.026807533023534363
Q5 (highest),2016,0.020090668116707927
Q5 (highest),2017,0.008773884248090613
Q5 (highest),2018,0.013405560604864253
Q5 (highest),2019,0.021393700699448237
Q5 (highest),2020,0.04577600060078443
Q5 (highest),2021,0.009640566535439335
Q5 (highest),2022,-0.006174826268435157
Q5 (highest),2023,0.004836354685177319
Q5 (highest),2024,0.009024021578927177
Q5 (highest),2025,0.015149583461021937
Q5 (highest),2026,0.006381692181064531
