spec,n,r,ci_lo,ci_hi,p_value
"Level (post-period YoY only, matches R/56 scan)",50,0.2903385168221953,0.013045033508365623,0.5261642388413695,0.04081863316407321
Trend-differenced (post YoY minus pre YoY),50,0.0474683380627291,-0.23397076685988602,0.32156728338773277,0.7434055643918275
"Trend-differenced, excl. Texas",49,-0.04516072158942847,-0.3222648527287505,0.23907184715674248,0.757989927445694
