yr,premium,se,n
2018,0.19997000388275524,0.004802787447958323,80592
2019,0.18633689621590988,0.004887801419149777,77120
2020,0.17292304762258429,0.005057204931715531,70239
2021,0.1736965432766937,0.005139316915178952,68311
2022,0.16257124520376626,0.005186200870777721,68064
2023,0.15131782683044767,0.0056556796004003105,66148
2024,0.15134909299473306,0.0060459425284793275,67986
2025,0.15625507498726954,0.006486611582751533,59890
2026,0.14548066490055392,0.007875257262420146,42595
