exp_grp,yr,mean_uhrs,share_ptecon,n
Q1 lowest,2015,40.96423226674897,0.02182513333833723,115192
Q1 lowest,2016,40.89694574975667,0.017482878799722268,114008
Q1 lowest,2017,40.7207133109966,0.01670748720935295,112409
Q1 lowest,2018,40.81426098894346,0.0145067633312527,108622
Q1 lowest,2019,40.711769823457075,0.013761440771203799,105830
Q1 lowest,2020,40.81138983432085,0.029122882566822786,91031
Q1 lowest,2021,40.81287255473262,0.016594853135490216,89902
Q1 lowest,2022,40.684915086310276,0.011722607243144393,87379
Q1 lowest,2023,40.38260651135108,0.011851206411832252,85347
Q1 lowest,2024,40.32398549317058,0.013300887567537596,83875
Q1 lowest,2025,40.1610280646483,0.013462397307535812,72529
Q1 lowest,2026,40.17301582226889,0.013396863277414565,50698
Q2,2015,39.300487820331085,0.027593171910339755,137705
Q2,2016,39.30017020965305,0.025741766463823913,136515
Q2,2017,39.388330857505075,0.022351815653455318,135755
Q2,2018,39.26335556828771,0.020437945161473105,130615
Q2,2019,39.31015590656935,0.017575932967314474,126800
Q2,2020,39.0737948402776,0.037690010428267424,111054
Q2,2021,39.066465837179386,0.023318333769811607,113592
Q2,2022,39.18983238038907,0.015928428484354464,110175
Q2,2023,38.9206428093469,0.016758352251242038,109478
Q2,2024,38.65780195329625,0.018359674282559593,108706
Q2,2025,38.64492809275247,0.019627557910559992,97463
Q2,2026,38.631248992541465,0.02093167450692733,68317
Q3,2015,38.95041784123837,0.04566312369149617,211765
Q3,2016,38.850883851855215,0.04114216268771155,210953
Q3,2017,38.93185656079369,0.035501843176453766,208964
Q3,2018,39.13312651988889,0.03131318454156685,204382
Q3,2019,39.19138335667121,0.028147779489118976,198851
Q3,2020,39.077283429188974,0.04917070222569895,170984
Q3,2021,38.992995062860714,0.03191712871253439,174116
Q3,2022,38.985984256890696,0.022357480739433343,167996
Q3,2023,38.84815733853787,0.022337480159937514,164844
Q3,2024,38.69832189123208,0.025279749179298677,162557
Q3,2025,38.65691549789152,0.028488957477112116,142238
Q3,2026,38.54092215601892,0.027373593597382558,99421
Q4 highest,2015,39.092233179611945,0.05389654946544118,154772
Q4 highest,2016,39.06174321171818,0.04971814378314552,157820
Q4 highest,2017,39.202439960525325,0.043475144491006555,154626
Q4 highest,2018,39.212415475328584,0.03777825642609926,149132
Q4 highest,2019,39.24676440382522,0.035723253252905526,144251
Q4 highest,2020,39.361664070014555,0.05364025237629562,118636
Q4 highest,2021,39.224508668435185,0.035210464921755426,123176
Q4 highest,2022,39.11347939436396,0.029007170394174983,118250
Q4 highest,2023,39.046371099827105,0.028875777100370734,114401
Q4 highest,2024,38.90026981424747,0.031831983143633426,112944
Q4 highest,2025,38.77117633757375,0.035363491912397745,98258
Q4 highest,2026,38.652021717026805,0.035094507221655455,68303
