educ_grp,yr,unrate,epop,lfpr
BA+,2015,0.022639440592937543,0.8724137086189225,0.8926221753292292
BA+,2016,0.02210018411931591,0.874682871016719,0.8944503893059754
BA+,2017,0.020032291874023483,0.8780280044957319,0.8959764665866501
BA+,2018,0.019370827447056118,0.8830844500510343,0.9005284308971148
BA+,2019,0.01888343491191043,0.885641526227953,0.9026873643178553
BA+,2020,0.04363281351551452,0.8527535657480745,0.8916591637598048
BA+,2021,0.027298055717670206,0.8697968693516211,0.8942069813516887
BA+,2022,0.018367560325446376,0.8849092262420793,0.9014669752921539
BA+,2023,0.01876930108872017,0.8898340507118393,0.9068550868813515
BA+,2024,0.020783329248852518,0.8896184159593272,0.9085000720799743
BA+,2025,0.024117593135639034,0.8835793388662189,0.9054157884711522
BA+,2026,0.02679777694932131,0.8837252716605444,0.9080592406482094
HS to some college,2015,0.054742511261082254,0.7533240892308167,0.796951199229153
HS to some college,2016,0.05159322715093921,0.7589789223890491,0.8002672947063
HS to some college,2017,0.04679794613642993,0.7643234665580552,0.8018483210984096
HS to some college,2018,0.04076060727504683,0.7726540622644884,0.8054861676078383
HS to some college,2019,0.03868751404049556,0.7769704741304688,0.8082392411193522
HS to some college,2020,0.0848419044066457,0.7248676792443514,0.7920682587355313
HS to some college,2021,0.06343917297059078,0.7395941986318235,0.7896915793261218
HS to some college,2022,0.040416967925997194,0.7663083485138441,0.7985847215926449
HS to some college,2023,0.03900694829284556,0.7758799503945909,0.8073731116122829
HS to some college,2024,0.04245738920967214,0.774699655506582,0.8090497976556531
HS to some college,2025,0.04255691001427734,0.7757505639883303,0.8102315136034836
HS to some college,2026,0.04656645116474846,0.7706770933872558,0.8083175742334046
Less than HS,2015,0.12794313153475287,0.5062169345323837,0.5804861504310914
Less than HS,2016,0.1202983336721045,0.5227401108514818,0.594224304511703
Less than HS,2017,0.10535046529859217,0.5307980708315337,0.5933027965064426
Less than HS,2018,0.08756060797236863,0.5416856502047575,0.593667541030885
Less than HS,2019,0.08394082199202205,0.5492360306769182,0.5995639188630396
Less than HS,2020,0.1326329263073913,0.5043320112633387,0.5814516443612093
Less than HS,2021,0.12167247045207089,0.5024728350957739,0.5720791142165319
Less than HS,2022,0.08242425370955243,0.5346109326081933,0.5826341146978938
Less than HS,2023,0.08217097893213393,0.5550399153888183,0.6047312763580378
Less than HS,2024,0.08396750951643263,0.554373919886131,0.6051902368588271
Less than HS,2025,0.08331642583361587,0.5660800267497103,0.6175304572949217
Less than HS,2026,0.09412020645098057,0.5298231564752125,0.5848713706257804
