outcome,spec,beta,se,p,n
d_unrate,Naturalized citizens 2025-26,6.483284371632853e-4,0.013560019954467513,0.9619625835577478,101
d_hrs,Naturalized citizens 2025-26,1.8923331737052733,1.3126791278229382,0.1525764459471588,101
d_unrate,Naturalized citizens PLACEBO 2018-19,-0.02920736884947413,0.013189533580104598,0.028842223449321833,113
d_hrs,Naturalized citizens PLACEBO 2018-19,-0.5155683913733521,0.6950982740962802,0.4598234053562772,113
d_unrate,Native-born 2025-26,0.009850745533875434,0.007721423206584828,0.20288595298518244,351
d_hrs,Native-born 2025-26,-0.031252203270180065,0.5180154242164046,0.9519268294988785,351
d_unrate,Native-born PLACEBO 2018-19,-0.02194642162684706,0.007085496811080613,0.0021057461159113967,362
d_hrs,Native-born PLACEBO 2018-19,0.0688317975299303,0.29463269759255695,0.8154135594156526,362
