region,foreign_share_pop,2022,2023,2024,2025,2026 YTD,decel_25_26,decel_23_24
West,0.19,0.06283572546054746,0.06775949375144298,0.04188196297721042,0.030310241683037642,0.026725068825141862,-0.015156894152068556,-0.020953762483337038
Northeast,0.165,0.035993851457404503,0.06309243060390331,0.05985903228341886,0.045765047709185325,0.037905817300553174,-0.021953214982865683,0.023865180826014354
South,0.13,0.07213087078255474,0.08886710839428212,0.053372027131862544,0.035174304445022446,0.025912083532353802,-0.027459943599508742,-0.0187588436506922
Midwest,0.075,0.05152051038091058,0.07044378536163204,0.0592385689220671,0.045152350199773726,0.04304103458861441,-0.01619753433345269,0.007718058541156522
