spec,n,r,ci_lo,ci_hi,p_value,beta,beta_se,window_start,window_end
all 51 (50 states + DC),51,0.018049024239907414,-0.2588220318675464,0.29217939025955625,0.8999610865000427,2.4871251281804637e-6,1.9682266872867476e-5,2025-01-01,2026-07-01
"excl. DC (primary, n=50)",50,0.27131750451738934,-0.007604511333481174,0.5110689825592762,0.0566631204006066,2.6413057637377397e-5,1.352435083622008e-5,2025-01-01,2026-07-01
excl. DC and TX (n=49),49,0.21102196228262687,-0.07460136821497224,0.4646470186392524,0.14553985899358823,2.401422231669728e-5,1.622558662816362e-5,2025-01-01,2026-07-01
