grp,yr,UE,EU,EN,NE,months
Foreign-born prime-age,2015,0.285664607245172,0.01309224930814209,0.026851550604601555,0.08239090639888676,12
Foreign-born prime-age,2016,0.2890401850329594,0.0115601289016541,0.025719846635156102,0.08107255669870529,12
Foreign-born prime-age,2017,0.318304796180306,0.01119268337990388,0.027454949541960136,0.08559713412232627,12
Foreign-born prime-age,2018,0.32525655000328707,0.009558193977738912,0.025665460261907854,0.08721658824910544,12
Foreign-born prime-age,2019,0.3098404201499168,0.007569182069033526,0.025091698366584782,0.08972224435380395,12
Foreign-born prime-age,2020,0.2914644237743182,0.029238558109104404,0.031730029852515065,0.08718264902062267,12
Foreign-born prime-age,2021,0.28444995288396774,0.011663767361419192,0.02804041978042505,0.09290292249869754,12
Foreign-born prime-age,2022,0.33654145265007,0.009478699779580208,0.02853242474019878,0.09717077609166987,12
Foreign-born prime-age,2023,0.3119568415472252,0.010071872587957104,0.02624408581446393,0.10182705833646573,12
Foreign-born prime-age,2024,0.3158415180173343,0.011564049486321495,0.023823165416061238,0.0917605413414731,12
Foreign-born prime-age,2025,0.2709377351168021,0.010827170474797426,0.02369824906263304,0.09472020118914595,10
Foreign-born prime-age,2026,0.2972961651034673,0.008615139252121885,0.0249396394303927,0.09866288335572994,7
"Native prime, no BA",2015,0.21628160248694825,0.01308460377094396,0.022087098770959726,0.06052834039499521,12
"Native prime, no BA",2016,0.22164406201033446,0.012540838578350312,0.021710528314743145,0.06372761812418769,12
"Native prime, no BA",2017,0.2530706113551711,0.01239261105289424,0.022087845416671553,0.0656183878933812,12
"Native prime, no BA",2018,0.26336644524697767,0.01089139038959361,0.022971366087655248,0.06556885557866797,12
"Native prime, no BA",2019,0.25999614769023394,0.010550911710071316,0.023181098454809076,0.06895112981628997,12
"Native prime, no BA",2020,0.2572178376133766,0.027526103863763248,0.02723886207761636,0.067974706368713,12
"Native prime, no BA",2021,0.2350522881937139,0.012455620147831727,0.024673834230451257,0.07066051866844646,12
"Native prime, no BA",2022,0.2746230225492363,0.010998739762002469,0.02425237609243358,0.07439220852599258,12
"Native prime, no BA",2023,0.26703643848411734,0.010603081649763695,0.023067505808101074,0.06880465239237456,12
"Native prime, no BA",2024,0.25162055844187164,0.011196311616751145,0.021346227180134094,0.06532274885226484,12
"Native prime, no BA",2025,0.2595529778025699,0.011059931138758654,0.02259843667143975,0.06809464705020919,10
"Native prime, no BA",2026,0.23036781653283964,0.009900895404549363,0.023326455207523543,0.06446840199474864,7
Native prime-age,2015,0.2282319045304199,0.009982514652672908,0.018390683651320218,0.06868831090991284,12
Native prime-age,2016,0.23663696867529005,0.009559724629592549,0.01795460041912983,0.07036366796535773,12
Native prime-age,2017,0.26284810597878167,0.009606225508993533,0.018277291630609923,0.07428506153713639,12
Native prime-age,2018,0.27194108891096963,0.008498899368901204,0.01889083386785613,0.07396479700918167,12
Native prime-age,2019,0.2676325289995924,0.008108880111051028,0.018983853577947185,0.07817885605385937,12
Native prime-age,2020,0.2666884078335566,0.021100743505985023,0.021210692112280907,0.0770957153261712,12
Native prime-age,2021,0.24448276338712138,0.009409928100529564,0.019286834403979606,0.0771230860726476,12
Native prime-age,2022,0.2871347324938284,0.00848081461094354,0.018892284985655674,0.08260701921456054,12
Native prime-age,2023,0.2729710829984378,0.007823427701127142,0.018027378784453176,0.07795261165696331,12
Native prime-age,2024,0.2579891689435604,0.008164372892563485,0.016670215129458623,0.07354311971643754,12
Native prime-age,2025,0.2634136835996298,0.00882513578827283,0.018142575484253833,0.0779498718506185,10
Native prime-age,2026,0.22910461592218415,0.007926337834642548,0.01893788532453947,0.07458502581049556,7
