sex,yr,did_pp,se_pp,p
Men,2023,0.057782400616395044,0.5262838211368596,0.9125735374705589
Men,2025,0.8782283537207046,0.5341422449352808,0.10014064382382457
Men,2026,0.3015149565982584,0.6315271904098275,0.6330512373017969
Women,2023,0.7478247171743154,0.8081124308913517,0.3547612037782263
Women,2025,-0.4194487886654234,0.8083906438651599,0.6038530191862171
Women,2026,-1.4658512694759074,0.9668824708124978,0.1295067357047136
