date,emp_nat,emp_nzd,emp_ncz,emp_for,emp_all,pop_nat,pop_all,un_nat,lf_nat,emp_nat_prime,pop_nat_prime,epop_nat_men,unrate_nat_men,epop_nat_men_prime
2015-01-01,63070.002370099486,6222.2950200000205,8033.401881599995,14255.696901599982,77325.69927169927,101099.82586699915,120558.90099089794,4630.874924499993,67700.87729459946,40320.17700810045,49098.54471039988,0.6238388823050061,0.06840199284787409,0.8212092078476609
2015-02-01,63495.38212270041,6257.497535699992,7989.049720300008,14246.547256000003,77741.92937870113,101160.9292138013,120647.32999770109,4399.006072400003,67894.38819510103,40399.811437700104,48959.464425900165,0.6276670510657764,0.06479189502023404,0.8251685738687963
2015-03-01,64014.16723400011,6376.719648899989,8152.958547700003,14529.678196600024,78543.84543059979,101312.33571400076,120737.9409906999,4184.687106499999,68198.85434049944,40733.11498800019,49001.72217850018,0.6318496832874196,0.061360079241315785,0.8312588451405919
2015-04-01,64912.03362240043,6281.540024099988,8128.2905582,14409.830582300014,79321.86420469939,101552.37817099947,120831.13701289926,3677.5891430000015,68589.62276540043,40941.96854800038,48968.92931580044,0.6391975726368316,0.05361728195500641,0.8360805335147474
2015-05-01,65075.54962889986,6444.136387499995,8311.32358059999,14755.459968100064,79831.00959700052,101300.52278670097,120926.80901460018,3903.4376230999933,68978.98725200021,40899.664612100125,48781.40167290007,0.6424009258661316,0.0565887928861525,0.8384274172019425
2015-06-01,65551.8143241995,6343.674760499994,8335.328690100014,14679.00345060001,80230.8177748,101506.6100396015,121031.77799750179,3965.3138166000026,69517.12814080015,41097.58540369982,48896.5598487995,0.6457886269537058,0.057040817459671905,0.8405005491344161
2015-07-01,65894.4726932995,6220.262083599995,8523.14014320001,14743.402226800017,80637.8749201016,101642.33949740168,121139.37400870117,3837.3387429000068,69731.81143619973,40943.074483799,48879.16931019878,0.6482974813363478,0.055029959266308937,0.8376385086244932
2015-08-01,65222.511593699965,6325.662910599997,8447.465810300006,14773.128720899962,79995.64031459902,101724.93146539955,121249.83601080024,3657.174438700002,68879.68603239962,41068.42772959982,49052.174079399854,0.6411654513218775,0.05309510901341421,0.837239704464946
2015-09-01,64863.612272299884,6366.59085789999,8158.222335800019,14524.813193699996,79388.4254660013,101987.87641030074,121365.32502150205,3413.2166846000014,68276.82895689996,41207.27097439954,49078.67339499977,0.6359933607338909,0.049990849556803656,0.839616642502766
2015-10-01,64805.84221620006,6494.481764199989,8230.36511649999,14724.846880699972,79530.68909689947,101989.46652509843,121474.15900139857,3452.077623800001,68257.91984000025,41017.095386400244,49107.855239800236,0.6354170133859077,0.05057402323264219,0.8352450984900129
2015-11-01,64123.11444729953,6451.190788000009,8446.099699900004,14897.290487899934,79020.40493519997,101835.69385830071,121576.88401470076,3609.6390816000057,67732.75352889948,40718.94275080051,48916.75464120018,0.6296722889375472,0.05329237176309219,0.8324130055125313
2015-12-01,64442.52384410034,6488.018784999976,8390.244716700008,14878.263501700012,79320.78734579933,101714.95679379816,121671.32999639752,3667.2392546999995,68109.76309880035,40694.630073500375,48903.51785710026,0.6335599588833486,0.05384307752444072,0.8321411599143671
2016-01-01,64230.38703649984,6339.0145859000095,8511.079692099995,14850.094277999979,79080.48131450066,101866.77700540089,121926.35099980199,3864.1806691000043,68094.56770560036,40760.37724650033,49071.438563200056,0.6305332211805856,0.05674726779684364,0.8306334283231629
2016-02-01,64914.07900250004,6395.1055343000235,8347.28390029999,14742.389434599967,79656.46843710046,102071.98525510055,122016.72299239888,3995.032212899991,68909.11121540016,41123.18729440006,49287.154019199865,0.6359637156097763,0.05797538442212792,0.83435913703559506
2016-03-01,65175.38751789944,6520.5189142,8401.43114049998,14921.950054699968,80097.33757259943,102118.33455969958,122112.31102610071,3839.773407799999,69015.16092569941,41292.51234240024,49254.39925730032,0.6382339449513559,0.05563666528190575,0.8383517607572891
2016-04-01,65724.66668190007,6536.931824499991,8286.432372400002,14823.364196899936,80548.03087880067,102409.21716400309,122213.08300740166,3493.5176911999974,69218.18437310027,41432.20274580017,49322.85428340026,0.6417846801489108,0.05047109690669171,0.8400203789451879
2016-05-01,66056.54218119958,6543.649792700008,8200.562174600018,14744.211967299974,80800.75414849924,102562.63241160019,122315.93200030003,3411.0811117999992,69467.6232929997,41657.57595520013,49296.98775529961,0.6440605182217256,0.04910317857590697,0.8450328884592302
2016-06-01,66470.77313439993,6759.371890999995,8521.2340023,15280.60589329999,81751.37902769983,102501.20840419976,122427.4429947011,3820.6231383000018,70291.3962726999,41633.179357899724,49257.62751529958,0.6484877024306032,0.0543540652326446,0.8452128423149963
