yr,grp,mean_uhrs,share_pt,share_ptecon,share_ptecon_wide,n
2015,Foreign-born,40.13625538740838,0.11421268038602408,0.05457104694561014,0.061554638571627095,74950
2016,Foreign-born,40.249891635466454,0.11133192304053792,0.04833610606105922,0.05425824589384564,75443
2017,Foreign-born,40.21759492013611,0.1095688253867877,0.04304647731127116,0.05276302896364969,74747
2018,Foreign-born,40.275251510571216,0.10765507519488632,0.03710707233497339,0.04431044024417723,73879
2019,Foreign-born,40.36651821105911,0.10309937168015294,0.03381598999991112,0.041020924034409545,70139
2020,Foreign-born,40.08208341498158,0.10867541872883359,0.06846205980881317,0.07421662593319125,55443
2021,Foreign-born,40.082368482702165,0.10783354104973594,0.04716552584054643,0.053467398598003965,60221
2022,Foreign-born,40.218933022457435,0.101222234266,0.03444163229415023,0.040521107133532595,62061
2023,Foreign-born,39.966875852285426,0.10995049948712263,0.03855309750538895,0.04432275053347103,62193
2024,Foreign-born,39.89850478661376,0.11100758947040759,0.04318362925553908,0.051084915979245894,64800
2025,Foreign-born,40.01506391052014,0.10991719679924286,0.04326830964774628,0.04899469920360248,54467
2026,Foreign-born,40.08420714531788,0.10520683320964212,0.040373922563354626,0.04366629493454655,37661
2015,Native,41.18759574322613,0.1097321192374798,0.03364606067789561,0.036936297606817825,395859
2016,Native,41.15398359058345,0.10864775005999514,0.031129497823287045,0.034484511806692965,392850
2017,Native,41.23259154842486,0.10434888495608093,0.027730387016425728,0.03458395698071532,385317
2018,Native,41.25718487813178,0.10184073874703138,0.02405650078397081,0.029422635456770665,373016
2019,Native,41.290092341569725,0.0998676299832257,0.021773776947950782,0.02547672219632948,358752
2020,Native,41.08346125693104,0.09715619193910516,0.039879477590828535,0.042400225269089355,304710
2021,Native,41.05638248464395,0.09615330173804933,0.025154012541615322,0.028385056610910658,310662
2022,Native,41.11324305647144,0.09352724321480956,0.018059231728186395,0.020757134844255423,299972
2023,Native,40.988435411750686,0.09479373663527657,0.01833262753259389,0.020427803878092107,294379
2024,Native,40.83834084118684,0.1000229544777879,0.020211484907009615,0.024735995138737723,290618
2025,Native,40.75422285056066,0.10181309414408798,0.02169453892988042,0.025039382646129496,254263
2026,Native,40.70346483623923,0.10142950513956771,0.02120805494714159,0.023955551572498093,178211
