date,unrate_nat,unrate_for,prime_epop_nat,prime_epop_for,lfpr_nat,unrate_nat_sa,prime_epop_nat_sa,prime_epop_for_sa
2024-01-01,0.03976801988400994,0.0448726155421841,0.81134128727172,0.76680434226397165,0.6144838997072674,0.0374106500715079,0.814134770145102,0.775056118766107
2024-02-01,0.040448487726692586,0.04670828080317333,0.8145499875342808,0.7761739253794865,0.6156390331702459,0.0382017539208478,0.81560846613989,0.779276049552257
2024-03-01,0.039994692926850844,0.03647962343614518,0.8167236655266895,0.7762122276879831,0.6199131825451222,0.0396007240696405,0.815796274853372,0.774867818353215
2024-04-01,0.03425212510496619,0.03921074197818824,0.8192844027591683,0.7773773918057006,0.6171491435429319,0.0373430467986756,0.816317291869736,0.77609873689536
2024-05-01,0.03791661442468673,0.034167995248366625,0.8170450708142145,0.785406647046156,0.6164810832192855,0.0396328376876463,0.814681408267491,0.782168977525951
2024-06-01,0.0429658656411981,0.04211146971201589,0.8105035728798105,0.7873069707028432,0.6207843368627434,0.0402028387462403,0.813238528608661,0.786825637008091
2024-07-01,0.044954629933311466,0.04665108555261701,0.8122948136833857,0.7775662667911788,0.6227617478451504,0.0415611893498041,0.817018954906721,0.78129816843208
2024-08-01,0.044225356263907924,0.04275469757027444,0.8108795880486198,0.7894404490440273,0.6168734062717327,0.0416135392773384,0.813888204314923,0.78806965855569
2024-09-01,0.03797095472353963,0.04173149080259907,0.8179033525275731,0.7886305642188829,0.6164336299255493,0.0394790342868349,0.815689679045193,0.783260908285719
2024-10-01,0.038836449113012816,0.04143671959303222,0.8157381077412387,0.7837188452573068,0.6167182353980457,0.0405610472820565,0.81305742006939,0.781365991451964
2024-11-01,0.03869984988078769,0.04489960337134358,0.815343187240741,0.778404802127889,0.6155755675949918,0.0409761266337283,0.812909038349843,0.776346091426479
2024-12-01,0.03745807069925172,0.04274010155446871,0.8142383386959869,0.7727619116739848,0.6143537159239649,0.0405178455556403,0.81347557828549,0.776537012300863
2025-01-01,0.043470298226464574,0.04602636082505179,0.8111210217303941,0.7742496435154592,0.6142240700494503,0.0409326995940162,0.813915493626034,0.78139845814182
2025-02-01,0.04396013852155997,0.046779579435035044,0.8112808045954477,0.7792991091545635,0.614363301763993,0.0415115461180269,0.812346894400366,0.781918857285239
2025-03-01,0.04197612005696133,0.04430736380082446,0.8119131195736605,0.7820534766681503,0.6152280569333621,0.0416555154054113,0.811058691383598,0.779789730718947
2025-04-01,0.03909303575839472,0.03638952854199491,0.81659474111695,0.7831430162929954,0.6157225164614945,0.0425991738403667,0.813590182919528,0.781547649300132
2025-05-01,0.0413642644171333,0.034458509142053444,0.8142892072962004,0.7784462373069968,0.6144572391204294,0.0431859352383321,0.811939256449397,0.775025523696927
2025-06-01,0.04409422718003041,0.04113962912931352,0.8132196203516415,0.7775654635527247,0.6182713299175763,0.0413928699602864,0.815958386562071,0.777748644948803
2025-07-01,0.04689067201604814,0.04060375475581613,0.8075523907196347,0.7705750936869414,0.619595518386335,0.0433752035558683,0.812287267939292,0.775099490381971
2025-08-01,0.045548863079627654,0.04417010453177828,0.8116567206043079,0.7778457772337821,0.615617986498594,0.042876045966323,0.814640807232338,0.777080852223011
2025-09-01,0.043084861725981714,0.04143672247684969,0.8158622750450633,0.7847944707166242,0.6161803584318275,0.044748038949592,0.813628469408114,0.779885214304287
2025-10-01,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-01,0.04306989702862231,0.04356466387206955,0.8150911468348588,0.7835940927036117,0.6159991153378304,0.0455121303845405,0.812654577741671,0.781928885931738
2025-12-01,0.041128874812902665,0.04052303706901869,0.8132780882636346,0.783885297410524,0.6121747059682795,0.0444850312976015,0.812501566195866,0.787563927114715
2026-01-01,0.04720476880940873,0.04525379635791639,0.808760054934275,0.7897194595943393,0.6071090363454484,0.0444497063355683,0.811548713690409,0.795983193922183
2026-02-01,0.04734717626095494,0.04714010577481581,0.8105205554415487,0.7867185810080035,0.6098691505877135,0.0446931995796866,0.811578430486936,0.789032042895603
2026-03-01,0.043233357717629844,0.04275321098170713,0.8104063001998197,0.7993786380030711,0.6071966348780499,0.0429878279320221,0.809582200060463,0.796312067659992
2026-04-01,0.04071047645522579,0.036619889805485376,0.8141341028023671,0.7918387873127627,0.6067467098692825,0.0443429678616241,0.811107625768917,0.789925631596893
2026-05-01,0.04200774114542711,0.03495645774561511,0.8127544097693351,0.7973182984567566,0.6070497758780139,0.0438405801543149,0.810395968641587,0.793507691833574
2026-06-01,0.04575423275450747,0.035987700803212855,0.8044789309611444,0.7829431684334511,0.6104359184826259,0.0430031395223728,0.80724442014446,0.783521869631207
2026-07-01,0.04616526935747807,0.03268181241274273,0.8038151364764268,0.7817070912793928,0.6106315451219996,0.0427203868341416,0.808561568569529,0.786505255889508
2026-08-01,0.04559730222595305,0.03392969240426868,0.8051171339382093,0.7862154655752083,0.6089964787956511,0.0429227621126458,0.808103631385438,0.78576431111889
