period,unrate_nat,unrate_for,epop_nat,prime_epop_nat,prime_epop_for,lfpr_nat,foreign_share_lf,n_months
2019,0.03783157223552675,0.03125536553908406,0.6014932355654725,0.8065389511752359,0.7727832882235146,0.6251445715661544,0.17361215595250787,12
2024,0.039790926360184636,0.0419803687637007,0.5926978539298112,0.8146537812269524,0.7799836953332843,0.6172639151672525,0.19191357074666346,12
2025,0.043061932074884256,0.041763568507255044,0.5891091812685518,0.8128962851028904,0.7795865162038521,0.6156212908062884,0.19137799847240083,12
2026 YTD,0.04475254059082313,0.03866533328572051,0.5812705234673047,0.8087483280653908,0.7894799362078732,0.6085044062448481,0.19112751500553038,8
