yr,A_nat_prime_men_con_rate,B_nat_prime_men_noba_rate,C_nat_prime_all_con_rate,C2_nat_prime_women_con_rate,G_nat_youth_con_rate,D_nat_con_emp_mil,D_for_con_emp_mil,E_nat_con_hours,F_for_share_con,n_nat_prime_men_con
2015,0.09092459773869938,0.1164883269961208,0.04979736545226148,0.01049414353597372,0.020601249713146214,7.383160615624951,2.5543393973374986,41.94956710446472,0.2570404421640869,15381
2016,0.09345184107628157,0.12123424956046845,0.05090033660776889,0.009983210088208608,0.021494641792590176,7.682401957612481,2.6259247358625055,42.04005954971393,0.25473821444994155,15471
2017,0.09537318662940564,0.12431969091505009,0.0524099745050716,0.01090532628787764,0.023243397027745263,7.904994178824988,2.735284952912506,41.803200741455306,0.2570689094756706,15365
2018,0.09758771008561845,0.12711492600409266,0.05410916055504849,0.01207319631403338,0.02311064425932511,8.179343047512463,2.927083125774998,42.03823271738241,0.2635486051143112,15155
2019,0.09741905908242493,0.12897163778975387,0.05406490084807597,0.012130661489861989,0.025660170327627314,8.319000446150097,2.9234797829375054,42.07637548912209,0.26003868571399646,14542
2020,0.0896679197879283,0.11908515498158033,0.05034606905458111,0.012083622888120779,0.024893719676887152,7.9821164228,2.6140190859750048,41.58832034017426,0.24669551307741017,11774
2021,0.0931339843756903,0.12470065216783911,0.05247392348749468,0.012764381927071635,0.025817375488574778,8.204797382649996,2.947111947974992,41.65988860604382,0.26426971925621173,12766
2022,0.09390991669905588,0.12492171397092718,0.05326832161496129,0.013219101294748905,0.02695959413634029,8.3553403677125,3.4325210333875065,41.76161601261674,0.2911911598372885,11841
2023,0.09365072610387441,0.12531382754895318,0.05399311843235856,0.01443995002913137,0.029485903477028806,8.471390789087415,3.5039826643624967,41.525737446546,0.2925990306676463,11542
2024,0.09409159977818055,0.12301786760098936,0.05374046846777446,0.014220243446154565,0.02691215782388982,8.333934888362485,3.6446319263124995,41.611782757064034,0.30426277055511214,11389
2025,0.0935330937167968,0.12495852168100878,0.05331512704491771,0.013809392380979602,0.028601338135577335,8.607881555399976,3.5437739149500027,41.3226471152034,0.29162889974924056,11008
2026,0.09305299609547892,0.12330119773263043,0.05324664534149665,0.014463690543337978,0.03230617014062241,8.664268747049942,3.2233407551749975,41.707689724192356,0.2711512987175172,10552
