yr,p50,p25,mean,n,g_p50
2018,29.597696302275985,21.477035030494402,34.66421280154228,2889,NA
2019,29.64984539854132,22.232346775043634,34.545080536840636,2743,0.001761930919648158
2020,31.229359114008943,22.211015293167804,36.099314834475685,2451,0.05327224119506968
2021,30.734224831983852,22.69986044109406,35.350194356751814,2469,-0.01585476923229534
2022,29.517193249587613,22.59393515940355,34.41076364290799,2381,-0.039598577450690176
2023,29.75877414186964,22.084433500459845,35.20160489024148,2416,0.008184412733260205
2024,30.699796058399727,23.410589715244157,38.307030600010364,2327,0.03162166264120736
2025,31.424113271148443,23.568084953361332,38.84276443865991,2385,0.023593551285189696
2026,30.897273498702546,23.57678596018789,38.52290077406137,2362,-0.016765461857267572
