nc_quintile,yr,yoy
Q1 (lowest),1969,0.10569083629976195
Q1 (lowest),1970,0.0839268183589513
Q1 (lowest),1971,0.07156665064259987
Q1 (lowest),1972,0.04490536206202517
Q1 (lowest),1973,0.058509572471697024
Q1 (lowest),1974,0.057678590992766204
Q1 (lowest),1975,0.09815702158077971
Q1 (lowest),1976,0.08200801319954523
Q1 (lowest),1977,0.06644437685134816
Q1 (lowest),1978,0.07604952743596802
Q1 (lowest),1979,0.07416185875279116
Q1 (lowest),1980,0.09776334871403722
Q1 (lowest),1981,0.11217929389847456
Q1 (lowest),1982,0.0945381524930329
Q1 (lowest),1983,0.07342534410422097
Q1 (lowest),1984,0.04742560114745867
Q1 (lowest),1985,0.047948204198053845
Q1 (lowest),1986,0.036025126705374944
Q1 (lowest),1987,0.04136161609365843
Q1 (lowest),1988,0.05534253350339699
Q1 (lowest),1989,0.06785816703023181
Q1 (lowest),1990,0.05565845700750921
Q1 (lowest),1991,0.04662762372151105
Q1 (lowest),1992,0.033485292216981793
Q1 (lowest),1993,0.03250546542885724
Q1 (lowest),1994,0.03025923151844298
Q1 (lowest),1995,0.028761196375604897
Q1 (lowest),1996,0.03311371359133827
Q1 (lowest),1997,0.03447488294049972
Q1 (lowest),1998,0.03950357064974777
Q1 (lowest),1999,0.035266301794110916
Q1 (lowest),2000,0.033206401510461336
Q1 (lowest),2001,0.0406812606009955
Q1 (lowest),2002,0.03711330611026653
Q1 (lowest),2003,0.040873673704119345
Q1 (lowest),2004,0.02916895486100657
Q1 (lowest),2005,0.028496009799581418
Q1 (lowest),2006,0.040265102892012045
Q1 (lowest),2007,0.04551438958498219
Q1 (lowest),2008,0.045680297977123474
Q1 (lowest),2009,0.038697634340843695
Q1 (lowest),2010,0.03442736032453564
Q1 (lowest),2011,0.026352466658748963
Q1 (lowest),2012,0.01528626877274622
Q1 (lowest),2013,0.02238501600729481
Q1 (lowest),2014,0.025754651552268415
Q1 (lowest),2015,0.024846988933063113
Q1 (lowest),2016,0.020106783173318654
Q1 (lowest),2017,0.024383378604283606
Q1 (lowest),2018,0.027664449897115667
Q1 (lowest),2019,0.02790719562189467
Q1 (lowest),2020,0.042061762834446265
Q1 (lowest),2021,0.048701153006656533
Q1 (lowest),2022,0.06451472744261896
Q1 (lowest),2023,0.048794649962979664
Q1 (lowest),2024,0.041169578757869474
Q1 (lowest),2025,0.05106776124019563
Q1 (lowest),2026,0.031003921325417277
Q2,1973,0.056861166981521966
Q2,1974,0.03444780466627931
Q2,1975,0.05648221835733602
Q2,1976,0.068693137570285
Q2,1977,0.08019578465821459
Q2,1978,0.0811926330002416
Q2,1979,0.05237029211098776
Q2,1980,0.03702767302946369
Q2,1981,0.064459527983045
Q2,1982,0.041455670462601846
Q2,1983,0.07569187978241712
Q2,1984,0.07053445645032735
Q2,1985,0.037617368693053876
Q2,1986,0.029036611907739235
Q2,1987,0.020366825443618647
Q2,1988,0.04961577517468532
Q2,1989,0.03674338385102677
Q2,1990,-0.028724345132755527
Q2,1991,0.028485417751396375
Q2,1992,0.03062004388451564
Q2,1993,0.03258295975429942
Q2,1994,0.030996612440650995
Q2,1995,0.02826253254683736
Q2,1996,0.03242926970068863
Q2,1997,0.04318394532187625
Q2,1998,0.04953542174827405
Q2,1999,0.04276845921500924
Q2,2000,0.04009524572579104
Q2,2001,0.04207076758731332
Q2,2002,0.02902768583726431
Q2,2003,0.03549593373326235
Q2,2004,0.016669708703355685
Q2,2005,0.029665255990654588
Q2,2006,0.034226637277002786
Q2,2007,0.03722207816095102
Q2,2008,0.024058173752097234
Q2,2009,0.019192967734168287
Q2,2010,0.018796035572368697
Q2,2011,0.019583343987206986
Q2,2012,0.02361645029595752
Q2,2013,0.030674940137728618
Q2,2014,0.02408099815639575
Q2,2015,0.01989597921559516
Q2,2016,0.027932246620748613
Q2,2017,0.016757597184929474
Q2,2018,0.028535319464978726
Q2,2019,0.031239517511996745
Q2,2020,0.04961944540866134
Q2,2021,0.05175116927416637
Q2,2022,0.06315723728157563
Q2,2023,0.04181806854802986
Q2,2024,0.03588774714031895
Q2,2025,0.039667974581162085
Q2,2026,0.03769866219577343
Q3,1973,0.11701782131741609
Q3,1974,0.1187945017293428
Q3,1975,0.1338897443846091
Q3,1976,0.12735838272154765
Q3,1977,0.10760356879105268
Q3,1978,0.13814178063291166
Q3,1979,0.10568022605477942
Q3,1980,0.11702020996887083
Q3,1981,0.12626165313209403
Q3,1982,0.11557849318006749
Q3,1983,0.06096722887749709
Q3,1984,0.0450640353338754
Q3,1985,0.04838952532840332
Q3,1986,0.0445553766329167
Q3,1987,0.019598190727809772
Q3,1988,0.03761570668610445
Q3,1989,0.05370791313726933
Q3,1990,-0.09442621203100336
Q3,1991,0.026616478484619538
Q3,1992,0.02260015857545805
Q3,1993,0.030054115804699855
Q3,1994,0.02966535856975841
Q3,1995,0.024770120375718574
Q3,1996,0.03138668660069682
Q3,1997,0.03412953122544718
Q3,1998,0.038876084312959136
Q3,1999,0.03264077570252971
Q3,2000,0.029671436197223094
Q3,2001,0.03092215898960818
Q3,2002,0.026865999022566506
Q3,2003,0.028506298612752834
Q3,2004,0.012081727190244695
Q3,2005,0.030907731281182266
Q3,2006,0.04118139209496313
Q3,2007,0.0309410727175449
Q3,2008,0.02626974319793371
Q3,2009,0.019263276744745733
Q3,2010,0.026776764056735236
Q3,2011,0.023773827014346077
Q3,2012,0.015780072802573514
Q3,2013,0.018255027009246194
Q3,2014,0.02926462211491218
Q3,2015,0.013457824010394331
Q3,2016,0.020494168536388524
Q3,2017,0.02103000928784049
Q3,2018,0.021785481533616896
Q3,2019,0.029850944562465564
Q3,2020,0.0453404257577511
Q3,2021,0.03460309921173102
Q3,2022,0.05162934555745008
Q3,2023,0.051131750410226495
Q3,2024,0.036354014146485286
Q3,2025,0.03527231371106079
Q3,2026,0.04360892240421161
Q4,1959,0.036169474069321944
Q4,1960,0.03705809520209
Q4,1961,0.02385618778681281
Q4,1962,0.03085053529208709
Q4,1963,0.0299182151260739
Q4,1964,0.030031983741466595
Q4,1965,0.02916268256008886
Q4,1966,0.02921248655253325
Q4,1967,0.0353637703365596
Q4,1968,0.05185305878699961
Q4,1969,0.05651635346796832
Q4,1970,0.06721010929124405
Q4,1971,0.05974769596658763
Q4,1972,0.062078016033883715
Q4,1973,0.05719983270433024
Q4,1974,0.06657357199234945
Q4,1975,0.08838645952667556
Q4,1976,0.07075418526955385
Q4,1977,0.06185032204806662
Q4,1978,0.08669811939269081
Q4,1979,0.08736901270665667
Q4,1980,0.08241223732192904
Q4,1981,0.093118882029675
Q4,1982,0.07831145489089536
Q4,1983,0.05126122030325242
Q4,1984,0.031226124265426702
Q4,1985,0.041138211097939054
Q4,1986,0.03576242935777199
Q4,1987,0.016330577329066703
Q4,1988,0.022385834046873998
Q4,1989,0.03449700074292994
Q4,1990,-0.025185468236676056
Q4,1991,0.03417656805282687
Q4,1992,0.024707557241696376
Q4,1993,0.01781803193997486
Q4,1994,0.01339017973396281
Q4,1995,0.027173959570604728
Q4,1996,0.03390867110511306
Q4,1997,0.032482213926875975
Q4,1998,0.038595617167550084
Q4,1999,0.028181869308942592
Q4,2000,0.03813449272106881
Q4,2001,0.04624047847003576
Q4,2002,0.028810737373327983
Q4,2003,0.03526900633416402
Q4,2004,0.011440103186258072
Q4,2005,0.014822523728273723
Q4,2006,0.033817775807540196
Q4,2007,0.03453546142845293
Q4,2008,0.03146566110959598
Q4,2009,0.04860815650750186
Q4,2010,0.01612586976851252
Q4,2011,0.03178213412518072
Q4,2012,0.010428716695142892
Q4,2013,0.013190248020653716
Q4,2014,0.017401756594272816
Q4,2015,0.011228924832264758
Q4,2016,0.025535394771585285
Q4,2017,0.022679837694140143
Q4,2018,0.023634536863498423
Q4,2019,0.049959891993717004
Q4,2020,0.07733537863824522
Q4,2021,0.04138151911449271
Q4,2022,0.0827865431467322
Q4,2023,0.057350802618611085
Q4,2024,0.04841573964136975
Q4,2025,0.0341903532635329
Q4,2026,0.0339721440549046
Q5 (highest),1973,0.05717098397853443
Q5 (highest),1974,0.08111627203711436
Q5 (highest),1975,0.07729978372758892
Q5 (highest),1976,0.2603195512235379
Q5 (highest),1977,0.08867709998044632
Q5 (highest),1978,0.08505824089880765
Q5 (highest),1979,0.08030128730197916
Q5 (highest),1980,0.10404474670366753
Q5 (highest),1981,0.0816543533858819
Q5 (highest),1982,0.04579429242489544
Q5 (highest),1983,0.01891612067321652
Q5 (highest),1984,0.015869391849799908
Q5 (highest),1985,0.04602264313583268
Q5 (highest),1986,0.027234742062095835
Q5 (highest),1987,0.0238030176132088
Q5 (highest),1988,0.039684450083750156
Q5 (highest),1989,0.03438699405913026
Q5 (highest),1990,0.3306608329470194
Q5 (highest),1991,0.016435041806595163
Q5 (highest),1992,0.012710799154953017
Q5 (highest),1993,0.02014452102794967
Q5 (highest),1994,0.025672832497700387
Q5 (highest),1995,0.028089864797448377
Q5 (highest),1996,0.034951972440683876
Q5 (highest),1997,0.04986858252161752
Q5 (highest),1998,0.05531719514658351
Q5 (highest),1999,0.047657175049947015
Q5 (highest),2000,0.04757411878447179
Q5 (highest),2001,0.037692564063980166
Q5 (highest),2002,0.019169863105269996
Q5 (highest),2003,0.02023126219755747
Q5 (highest),2004,0.013771355143034736
Q5 (highest),2005,0.020828899663976136
Q5 (highest),2006,0.03708784976744123
Q5 (highest),2007,0.0522178329600029
Q5 (highest),2008,0.03673401344607696
Q5 (highest),2009,0.018232898468694525
Q5 (highest),2010,0.017659625057238143
Q5 (highest),2011,0.012130199809386094
Q5 (highest),2012,0.0105865822706262
Q5 (highest),2013,0.01788109869549659
Q5 (highest),2014,0.023136407029271833
Q5 (highest),2015,0.026883492066345327
Q5 (highest),2016,0.030637366772306024
Q5 (highest),2017,0.030195024995943898
Q5 (highest),2018,0.03927569019701957
Q5 (highest),2019,0.039176714948394226
Q5 (highest),2020,0.05829330670298083
Q5 (highest),2021,0.04826948078630938
Q5 (highest),2022,0.0765112600850392
Q5 (highest),2023,0.050225269586313015
Q5 (highest),2024,0.040226043595146393
Q5 (highest),2025,0.042002602546374834
Q5 (highest),2026,0.04017686429843716
