group,avg_2024,avg_recent,pct_change
Native-born,69046.75,65154.454545454544,-5.63718850567978
Naturalized citizens,6175.75,6020.272727272727,-2.5175447958106
Noncitizens,6029.416666666667,4978.818181818182,-17.424546070213843
All,81251.91666666667,76153.54545454546,-6.274770394693718
