sex,yr,nilf_childcare,nilf_family,abs_childcare,abs_parental,pt_childcare,n_nilf_childcare,n_abs_childcare,n_pt_childcare
Men,2023,0.015087033848173085,0.18817392436074437,0.01189489809282364,0.11693430604425124,0.17003267740533512,20,10,193
Men,2024,0.019484133481094627,0.17277331625381523,0.012555920663391985,0.10901680154531551,0.190024951880613,18,12,202
Men,2025,0.011586436541303063,0.19353444225241587,0.0034195921308519594,0.1640121176326585,0.22160608361262998,14,5,216
Men,2026,0.019442930133808923,0.173797968149794,0.011746183215972747,0.1548155177289388,0.1769494029021799,19,15,181
Women,2023,0.0971916634152806,0.5579001487256057,0.03961497740389106,0.4693437072217338,1.3094046498895768,110,44,1570
Women,2024,0.08521668041789798,0.5490261014112029,0.04837631254153833,0.5040574998433884,1.5216903506865098,96,60,1773
Women,2025,0.09941009092331074,0.6025797639443569,0.04702865760369085,0.5342435630098089,1.4799868322581002,106,59,1664
Women,2026,0.08655895904499743,0.5577508606765327,0.0345296168360821,0.48529730994309395,1.3812449014924097,76,38,1534
