outcome,spec,beta,se,p,n
d_epop,2025-26,-0.007806076860516272,0.025289987116206517,0.7588866100101934,51
d_lfpr,2025-26,5.640482190991205e-4,0.021027648684362847,0.9787089634621775,51
d_unrate,2025-26,0.010140190666456321,0.011227084044674956,0.37084389079588553,51
d_log_for_pop,2025-26,-0.24388465570782872,0.19239996669680554,0.21093451732045712,51
d_epop,PLACEBO 2018-19,0.002136305256852192,0.011381172482891928,0.85188289836986,51
d_lfpr,PLACEBO 2018-19,-0.010211137367514108,0.010824681752359672,0.35014540373966707,51
d_unrate,PLACEBO 2018-19,-0.014396744877016011,0.006160073466990448,0.023564332640747185,51
d_log_for_pop,PLACEBO 2018-19,-0.11533614726076898,0.16011941023218054,0.4747543817994352,51
