yr,se_rate,n
2015,0.2552202675070358,38797
2016,0.25030508070558705,39864
2017,0.24325594345214563,40016
2018,0.2362451134101913,39766
2019,0.2326747628547131,39092
2020,0.23345698248643135,33385
2021,0.24017950609403602,33924
2022,0.230112704779978,32395
2023,0.2154000295517724,31620
2024,0.22173897438270015,31290
2025,0.21325478429360503,27913
2026,0.21123700677709342,19849
