series,excl_texas,n,r,ci_lo,ci_hi,p_value
Total nonfarm,FALSE,48,-0.06466628987639046,-0.3425077718393882,0.22357638660983709,0.6623513848891719
Total nonfarm,TRUE,47,-0.07518320189224659,-0.35469216693126393,0.2166613544499024,0.6154828122936145
Construction,FALSE,48,-0.09283665823196635,-0.36728311964829885,0.1964808340729298,0.5302695824283667
Construction,TRUE,47,-0.07175803752987453,-0.35167798726339133,0.21994099408825823,0.6317109709747122
